record_type,persistence_exchange_ratio,persistence_mean,exchange_mean,diffusion_coefficient,tau_alpha,stokes_einstein_product,late_time,late_ngp,time,ngp,alpha_decay
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.16430204514719,0.2735973365089911,0.9102353665725018
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.24935695449321,0.2881436012877541,0.90596511573954
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.337754436850275,0.30323261130982787,0.9014928416112991
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.4296258520002016,0.31884945240972956,0.896810283374709
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.525107722033072,0.33497386299946413,0.8919090321982879
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.6243419342207943,0.3515798022601935,0.8867805522011792
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.727475951863386,0.3686350543068847,0.8814162045248173
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.834663033421316,0.386100882363278,0.8758072746921199
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.9460624602595247,0.403931747773754,0.8699450034291077
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.061839773341555,0.42207510911551577,0.8638206211099684
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.1821670192255245,0.4404713166687253,0.8574253859684543
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.307223005727498,0.45905361696965646,0.8507506261957064
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.437193567632172,0.4777482810351439,0.8437877860167965
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.5722718428457383,0.4964748680453238,0.8365284758051521
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.7126585594012456,0.5151466337727548,0.8289645262553197
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,3.8585623337430164,0.5336710898471541,0.8210880465900379
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.010199980733346,0.5519507160879179,0.8128914867272719
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.16779683584212,0.5698838237049101,0.804367703276712
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.331587089998199,0.5873655622949627,0.7955100291734325
