replicate,temperature,jump_count,sample_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
2.0,0.45,17.0,41663.0,0.56477941512661,0.851140859200186,0.7125766154488027,0.36101746384667976,0.1432628229025789
2.0,0.45,18.0,39682.0,0.5945084366203562,0.9306734166967845,0.700350143889708,0.3447045710015956,0.1356232496421827
2.0,0.45,19.0,37778.0,0.6249253884848829,1.0148850475621922,0.6881121227189015,0.32906518300024956,0.1261511774036464
2.0,0.45,20.0,35930.0,0.6537799144269563,1.0943499091679447,0.6765980949444443,0.3154987561436272,0.11960896037928519
2.0,0.45,21.0,34132.0,0.683656855812267,1.1835131378681925,0.6650439303652662,0.3013905399321569,0.11279511051236908
2.0,0.45,22.0,32404.0,0.7113767105941953,1.2692849255526122,0.6547520365288255,0.29042496179278415,0.10876842828232955
2.0,0.45,23.0,30729.0,0.738335056006634,1.3541645791674084,0.6448398241342965,0.28044608579818336,0.10265516637762036
2.0,0.45,24.0,29129.0,0.7648048387802449,1.4387221355037927,0.63491537214416,0.2700477792400125,0.09715966617592732
2.0,0.45,25.0,27589.0,0.7912957470135463,1.5261056989958233,0.6252103006336509,0.25983332114950464,0.0942824705563911
2.0,0.45,26.0,26103.0,0.8185950115290703,1.6205321628656328,0.6155540359416781,0.25101516424570447,0.0906717603966877
2.0,0.45,27.0,24671.0,0.8448200291567106,1.717928582503557,0.606607622609432,0.24183259389288358,0.085790741262951
2.0,0.45,28.0,23301.0,0.871530510609232,1.8208891316636253,0.5974657111536765,0.23254676781792127,0.08342064638823173
2.0,0.45,29.0,21978.0,0.8978149001889052,1.9227638245892138,0.5882034059506007,0.2217157894608469,0.07897419793245576
2.0,0.45,30.0,20708.0,0.924252904306944,2.0244141692691517,0.5786950850064708,0.21138016520308017,0.07741083167482367
2.0,0.45,31.0,19503.0,0.9500663581635915,2.1217899237113094,0.5693537608479752,0.20157098688346184,0.07435515131817438
2.0,0.45,32.0,18362.0,0.9759902554206805,2.222781513875103,0.5602629587373383,0.19277091863883022,0.06936455713580565
2.0,0.45,33.0,17279.0,1.00231356171046,2.325284567143992,0.5512795088930799,0.18492640229776497,0.06820151582703782
2.0,0.45,34.0,16245.0,1.0284038189132025,2.4373929883647993,0.5424040227456355,0.1762729565750291,0.06389899353803655
2.0,0.45,35.0,15262.0,1.0539567451971963,2.5539503435256568,0.5342551076222927,0.17057641954267647,0.062298380547349395
2.0,0.45,36.0,14331.0,1.0808067388382674,2.6776222112376082,0.5258328905764794,0.16515200669540228,0.06051224322645585
2.0,0.45,37.0,13446.0,1.1049879272850247,2.7908773638299404,0.5183723108291404,0.15918956310582422,0.06009127708649733
2.0,0.45,38.0,12596.0,1.1290878938394324,2.9012207130525876,0.5107574106712669,0.15158543620176057,0.05431401921162857
