q_over_A,t_over_t_peak,alpha_over_alpha_peak,predicted_t_peak,predicted_alpha_peak
0.6,0.6493133047210301,0.8932724304636238,13.69700402475259,0.15
0.6,0.6550214592274678,0.8975796440422664,13.69700402475259,0.15
0.6,0.6607296137339056,0.9017678003784073,13.69700402475259,0.15
0.6,0.6664377682403434,0.9058388284775143,13.69700402475259,0.15
0.6,0.6721459227467812,0.9097946559738694,13.69700402475259,0.15
0.6,0.6778540772532189,0.9136372070200949,13.69700402475259,0.15
0.6,0.6835622317596567,0.9173684003231812,13.69700402475259,0.15
0.6,0.6892703862660945,0.9209901473200585,13.69700402475259,0.15
0.6,0.6949785407725322,0.9245043504859929,13.69700402475259,0.15
0.6,0.70068669527897,0.9279129017692833,13.69700402475259,0.15
0.6,0.7063948497854078,0.9312176811459343,13.69700402475259,0.15
0.6,0.7121030042918455,0.9344205552882439,13.69700402475259,0.15
0.6,0.7178111587982833,0.9375233763413648,13.69700402475259,0.15
0.6,0.7235193133047211,0.9405279808021987,13.69700402475259,0.15
0.6,0.7292274678111589,0.9434361884951681,13.69700402475259,0.15
0.6,0.7349356223175966,0.9462498016395908,13.69700402475259,0.15
0.6,0.7406437768240344,0.9489706040036265,13.69700402475259,0.15
0.6,0.7463519313304722,0.9516003601399703,13.69700402475259,0.15
0.6,0.7520600858369099,0.954140814698623,13.69700402475259,0.15
0.6,0.7577682403433477,0.9565936918123412,13.69700402475259,0.15
0.6,0.7634763948497855,0.9589606945504666,13.69700402475259,0.15
0.6,0.7691845493562233,0.9612435044371489,13.69700402475259,0.15
0.6,0.774892703862661,0.9634437810300008,13.69700402475259,0.15
0.6,0.7806008583690988,0.965563161555556,13.69700402475259,0.15
0.6,0.7863090128755366,0.9676032605979727,13.69700402475259,0.15
0.6,0.7920171673819743,0.9695656698376354,13.69700402475259,0.15
0.6,0.797725321888412,0.9714519578364349,13.69700402475259,0.15
0.6,0.8034334763948499,0.973263669866739,13.69700402475259,0.15
