model,replicate,realization,temperature,block_size,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,4.0,2.0,0.58,20.0,4975861.0,0.0006736598660854742,0.0019717329888391255,0.0015477760113795647,0.000440722668332616,0.0015642969256500772,0.0014474363843374194,0.0016865503086143097,6.603392445125866e-05,0.0016865503086143097,0.0001427733282286514,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,3.0,0.58,20.0,5073270.0,0.0028692427413468113,0.0024465624856299106,0.001818076259495649,0.0001995452752339144,0.0009348884724262874,0.0025175941782589195,0.0036472593204544546,0.0016040224517913648,0.0036472593204544546,0.00017552616459032278,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,4.0,0.58,20.0,5170679.0,0.002633984604986539,0.002066015469018856,0.0031275642740688225,1.2019424077469587e-05,0.001518603895563797,0.0027978322466216676,0.007397997655246125,0.004190051429388997,0.007397997655246125,5.349157144851624e-05,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,5.0,0.58,20.0,5268088.0,0.0029471777244314268,0.0035442000440758514,0.00210114425195268,0.0020643071440760163,0.0031640566300121797,0.002042717102706093,0.0021242348974445657,0.0015635144212226004,0.0031640566300121797,0.0036566350597115327,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,6.0,0.58,20.0,5365497.0,0.0015464683922068456,0.004634988611784241,0.0013783614852797,6.24768919139651e-05,0.0020470724878478563,0.003972184680751556,0.0017153382535213813,0.001606470819296879,0.003972184680751556,0.0011074724231448785,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,7.0,0.58,20.0,5462906.0,0.000922796961877248,0.004284452441964293,0.00035115377205721665,0.0009650142643057302,0.00037055628191273726,0.0002005194452134873,0.0003447752669976656,0.0015090857898523158,0.0015090857898523158,0.0002742717339183909,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,8.0,0.58,20.0,5560315.0,0.0015136014312351342,0.005469441155353083,0.0007901739470638214,0.0016334951987170276,0.0016393235056662014,0.0018665539605412507,0.003099495894785087,0.0004068773813723503,0.003099495894785087,4.679931802045734e-05,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,9.0,0.58,20.0,5657724.0,0.0008387876313039611,0.0009550496364886252,0.003324095586616699,0.0007812368735561348,0.0028421501280294637,0.006023523543669418,0.0033749274959906095,0.002372045616472751,0.006023523543669418,0.003914909130338623,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,10.0,0.58,20.0,5755133.0,0.001372613953752988,0.007131805224501631,0.0010188564351429341,0.00013760270886897796,0.00152510059242994,0.0012001830607216712,0.0011340509800617515,0.0007181846542670955,0.00152510059242994,0.000542372011846648,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,11.0,0.58,20.0,5852542.0,0.001631766870903606,0.00142761980445405,0.00014897169173255786,0.001817933750672962,0.0008201076741937152,0.00026664861856273703,0.00039996982112261437,0.002989615909990029,0.002989615909990029,0.0037913081844266616,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,12.0,0.58,20.0,5949951.0,0.002036971055128234,0.005601983078354467,0.0011643477213887088,0.0004921231209983334,0.0005300441645977871,0.001990457056939565,0.0010881639750268124,0.0014934267198060125,0.001990457056939565,0.0026551306769553307,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,13.0,0.58,20.0,6047360.0,0.0015107437364658693,0.0017207565848513795,0.0011292803872898494,0.00035617214817507126,0.0015512066976864913,0.0018670156855061792,0.0014188736141889646,0.0017003991374231475,0.0018670156855061792,0.0004477420323392989,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,14.0,0.58,20.0,6144769.0,0.0003521475839667332,0.001777410873941454,0.0036473788566369625,0.0011984286271032873,0.0038592856434810363,0.002597426922379409,0.004820202627259185,0.002790944112930238,0.004820202627259185,0.0028453599829479093,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,15.0,0.58,20.0,6242178.0,0.0005180742028223495,0.0010463860298612904,0.003135273898984242,0.0013940810723349628,0.0005560740041220535,0.007318606030846775,0.003154746233415162,0.003438863585974228,0.007318606030846775,0.003556651313287029,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,0.0,0.58,20.0,5781046.0,0.0014135218181492437,0.0007183701148677502,0.0035199330901607706,0.0007996043297440192,0.0024197997691899342,0.006966549214088014,0.004804629760553403,0.0033083261153945553,0.006966549214088014,0.0038926951653034947,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,1.0,0.58,20.0,5878455.0,0.002147956016875563,0.001680238625265007,0.0015989308083127762,0.0009545438219333846,0.0020177949351891655,0.0012929421387810058,0.003025278014817223,0.0012459404328681867,0.003025278014817223,0.0007618373611875118,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,2.0,0.58,20.0,5975864.0,0.002052308916555834,0.0004325222445141774,0.0020391552257144896,0.0009346751309641244,0.0027961696804390535,0.004383919494397148,0.0004753537456212986,0.002427053957248071,0.004383919494397148,0.00047794896306507795,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,3.0,0.58,20.0,6073273.0,0.001600670422342354,0.004162520207610543,0.0004379727354970886,0.00018873011916986648,0.0020955115112806233,0.0008884430676464605,0.0013359034118477497,0.00040020191123124604,0.0020955115112806233,0.00032921629393967144,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,4.0,0.58,20.0,6170682.0,0.004683509277225273,0.005905037645780542,0.003692355045845447,0.0010972798776524018,0.002464012429954643,0.005324847533227872,0.007176489648085094,0.0005760586548212432,0.007176489648085094,0.0028171348592128387,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,5.0,0.58,20.0,6268091.0,0.00209525241352293,0.001065697741213234,0.0020814214574982615,0.0003429599262247951,0.0023586548952282405,0.0028954608895974676,0.0012352027451509873,0.003001129495518562,0.003001129495518562,0.0016939672235962433,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,6.0,0.58,20.0,6365500.0,0.000651801003977992,0.00047343339848815447,0.0012699685877528566,0.0007996043297440192,0.001936095384694858,0.0008247405240507932,0.0014200793368631115,0.001034945260553699,0.001936095384694858,0.0013790023695634535,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,7.0,0.58,20.0,6462909.0,0.0020119295691038985,0.007600519085721791,0.0017476821749494165,0.00019358053843820944,0.00015790965229200982,0.005371090290109792,0.0017809664454975227,0.0007180135152932143,0.005371090290109792,0.0003818147032035035,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,5.0,8.0,0.58,20.0,6560318.0,0.0010505981638597728,0.0016137806963230084,4.172993131601466e-05,0.0002237640489993753,0.001825977086390984,0.0023212358858815674,0.0012180643511224831,0.0019197583626995307,0.0023212358858815674,0.0014868407984632293,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
