held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,57.0,pu,-0.008485107878880151,-0.02128205289807856,0.017168033229507988,0.0
1.0,40.0,57.0,pp,-0.00443419777122617,0.04250086952748617,0.9951460070610032,0.0
1.0,40.0,58.0,uu,0.22320093353545212,0.19033701026372601,1.1054152810333737,0.0
1.0,40.0,58.0,up,0.007644571105624618,-0.00510670804805893,0.014319178549810565,0.0
1.0,40.0,58.0,pu,-0.007490415922509322,-0.03315332055340809,0.014319178549810565,0.0
1.0,40.0,58.0,pp,-0.0057610271200380396,0.04576727094939194,1.0098122736672717,0.0
1.0,40.0,59.0,uu,0.22195920361878355,0.18354928414090146,1.110849443396307,0.0
1.0,40.0,59.0,up,0.006532008615076097,0.003609852519922705,0.01662984084567054,0.0
1.0,40.0,59.0,pu,-0.006272107922322661,-0.04091289912237894,0.01662984084567054,0.0
1.0,40.0,59.0,pp,-0.006613879773061996,0.0510400452015022,1.021214091763662,0.0
1.0,40.0,60.0,uu,0.22094424256781156,0.17552581874843598,1.1180841825818795,0.0
1.0,40.0,60.0,up,0.00534405495358069,0.012228636015051576,0.02512598594121931,0.0
1.0,40.0,60.0,pu,-0.004951170194791063,-0.0463434599741772,0.02512598594121931,0.0
1.0,40.0,60.0,pp,-0.006898431968707797,0.04420113732511728,1.019850579573328,0.0
1.0,40.0,61.0,uu,0.22016397685160302,0.1665484890838939,1.1260188292803193,0.0
1.0,40.0,61.0,up,0.004156474241548285,0.01871487624471181,0.018041716057514142,0.0
1.0,40.0,61.0,pu,-0.0036345025559502476,-0.052562746412665326,0.018041716057514142,0.0
1.0,40.0,61.0,pp,-0.006588582145470661,0.029861443312739856,0.9952820646868099,0.0
1.0,40.0,62.0,uu,0.21960591968725304,0.15673899575143385,1.132054811109154,0.0
1.0,40.0,62.0,up,0.0030791132853916423,0.022752030466521744,0.014843912478022065,0.0
1.0,40.0,62.0,pu,-0.0024218466633102857,-0.05507643878846442,0.014843912478022065,0.0
1.0,40.0,62.0,pp,-0.005765010235259248,0.016003724804398115,0.9619519526666225,0.0
1.0,40.0,63.0,uu,0.2192451243392171,0.14700962289371045,1.1351447666258674,0.0
1.0,40.0,63.0,up,0.0021639079247867087,0.02380394607366377,0.0028782276012262664,0.0
1.0,40.0,63.0,pu,-0.0013893865674189712,-0.05226792241562252,0.0028782276012262664,0.0
1.0,40.0,63.0,pp,-0.004680867540330418,-0.0010794024778838763,0.9413425841442379,0.0
1.0,40.0,64.0,uu,0.21904477812790477,0.13823235166016543,1.1330424269792467,0.0
1.0,40.0,64.0,up,0.0014606125412465198,0.023183444608754683,-0.015250487569686217,0.0
1.0,40.0,64.0,pu,-0.0005750472311378368,-0.044672436081536156,-0.015250487569686217,0.0
1.0,40.0,64.0,pp,-0.003490335143942592,-0.006142740766859617,0.9351423974062958,0.0
1.0,40.0,65.0,uu,0.21896529011856472,0.13184834653733624,1.1252590292446485,0.0
1.0,40.0,65.0,up,0.0009494764964510612,0.021398437976042437,-0.027632712376305543,0.0
1.0,40.0,65.0,pu,4.487089369777645e-06,-0.028403765954290998,-0.027632712376305543,0.0
1.0,40.0,65.0,pp,-0.0024083977326415933,-0.009834072644440115,0.9401329840194278,0.0
1.0,40.0,66.0,uu,0.2189704321728564,0.12808686588653434,1.1137000695778396,0.0
