replicate,temperature,block_size,window,block_lag,first_count,second_count,frequency,probability,pair_observation_count
1.0,0.58,100.0,calibration,1.0,3.0,0.0,582.0,0.029600244125724748,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,1.0,601.0,0.030566575119519886,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,2.0,500.0,0.02542976299460889,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,3.0,268.0,0.013630352965110365,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,4.0,151.0,0.007679788424371885,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,5.0,58.0,0.0029498525073746312,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,6.0,22.0,0.0011189095717627912,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,7.0,10.0,0.0005085952598921778,19662.0
1.0,0.58,100.0,calibration,1.0,3.0,8.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,0.0,240.0,0.012206286237412267,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,1.0,310.0,0.01576645305665751,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,2.0,220.0,0.011189095717627912,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,3.0,117.0,0.00595056454073848,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,4.0,56.0,0.0028481334553961957,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,5.0,27.0,0.00137320720170888,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,6.0,8.0,0.00040687620791374224,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,7.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,4.0,8.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,0.0,108.0,0.00549282880683552,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,1.0,116.0,0.0058997050147492625,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,2.0,83.0,0.004221340657105076,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,3.0,57.0,0.0028989929813854134,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,4.0,21.0,0.0010680500457735734,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,5.0,12.0,0.0006103143118706134,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,6.0,3.0,0.00015257857796765334,19662.0
1.0,0.58,100.0,calibration,1.0,5.0,7.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,0.0,26.0,0.0013223476757196623,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,1.0,36.0,0.00183094293561184,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,2.0,30.0,0.0015257857796765334,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,3.0,16.0,0.0008137524158274845,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,4.0,11.0,0.0005594547858813956,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,5.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,6.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,6.0,7.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,7.0,0.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,calibration,1.0,7.0,1.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,calibration,1.0,7.0,2.0,10.0,0.0005085952598921778,19662.0
1.0,0.58,100.0,calibration,1.0,7.0,3.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,calibration,1.0,7.0,4.0,4.0,0.00020343810395687112,19662.0
1.0,0.58,100.0,calibration,1.0,8.0,0.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,8.0,1.0,5.0,0.0002542976299460889,19662.0
1.0,0.58,100.0,calibration,1.0,8.0,2.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,8.0,3.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,8.0,4.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,9.0,0.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,9.0,2.0,1.0,5.085952598921778e-05,19662.0
