protocol,model,fold_index,lag_frames,row_coordinate,column_coordinate,held_correlation,simulated_correlation,thermodynamic_claim_allowed
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,8.0,p,u,-0.5151919369239282,-0.5130708993994321,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,8.0,p,p,-0.4349673038659223,-0.41905264337510456,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,9.0,u,u,0.2169051712121037,0.2134782083319077,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,9.0,u,p,0.4268575912239427,0.4627480599677993,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,9.0,p,u,-0.4218612962901024,-0.4267282940013211,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,9.0,p,p,-0.5320484959517269,-0.5172418282367934,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,10.0,u,u,0.1463919878164297,0.14131533595059276,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,10.0,u,p,0.32066625970115575,0.35939772177114687,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,10.0,p,u,-0.3152497032658892,-0.3275844444941503,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,10.0,p,p,-0.5743488125724057,-0.5662339390767483,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,11.0,u,u,0.0966508098841407,0.08790086390699005,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,11.0,u,p,0.21126312830566657,0.2514101529287116,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,11.0,p,u,-0.20548304401726705,-0.23057356393049452,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,11.0,p,p,-0.5658041193735708,-0.5652862436694988,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,12.0,u,u,0.0674145294310462,0.05253516654083432,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,12.0,u,p,0.10766737407230018,0.14688170986542506,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,12.0,p,u,-0.10160341820299085,-0.13549482620060488,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,12.0,p,p,-0.5141506352265949,-0.5315384624962038,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,13.0,u,u,0.05686181774657347,0.03406395137257773,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,13.0,u,p,0.016958670733685257,0.05228173157653423,0.0
