block_lag,lag_time,block_size,block_count,paired_particle_block_count,mean_events_per_particle_block,particle_identity_correlation,replicate,temperature,debye_waller_factor,thermodynamic_claim_allowed
8.0,160.0,20.0,37.0,95033.0,0.28714463624442266,-0.0027401968579632867,2.0,0.58,0.055856186896562576,0.0
9.0,180.0,20.0,37.0,91756.0,0.28714463624442266,0.0002469916846173259,2.0,0.58,0.055856186896562576,0.0
10.0,200.0,20.0,37.0,88479.0,0.28714463624442266,-0.0032795678323194358,2.0,0.58,0.055856186896562576,0.0
11.0,220.0,20.0,37.0,85202.0,0.28714463624442266,-0.006266741678989891,2.0,0.58,0.055856186896562576,0.0
12.0,240.0,20.0,37.0,81925.0,0.28714463624442266,0.0014440154185689485,2.0,0.58,0.055856186896562576,0.0
13.0,260.0,20.0,37.0,78648.0,0.28714463624442266,0.0074624862578503565,2.0,0.58,0.055856186896562576,0.0
14.0,280.0,20.0,37.0,75371.0,0.28714463624442266,0.001825986379896132,2.0,0.58,0.055856186896562576,0.0
15.0,300.0,20.0,37.0,72094.0,0.28714463624442266,-0.00041816784043724,2.0,0.58,0.055856186896562576,0.0
1.0,50.0,50.0,15.0,45878.0,0.7119519886074662,0.06769195671677772,2.0,0.58,0.055856186896562576,0.0
2.0,100.0,50.0,15.0,42601.0,0.7119519886074662,0.010791280105298612,2.0,0.58,0.055856186896562576,0.0
3.0,150.0,50.0,15.0,39324.0,0.7119519886074662,-0.004304018586604066,2.0,0.58,0.055856186896562576,0.0
4.0,200.0,50.0,15.0,36047.0,0.7119519886074662,0.0028451259558248472,2.0,0.58,0.055856186896562576,0.0
5.0,250.0,50.0,15.0,32770.0,0.7119519886074662,-0.0013597971126040882,2.0,0.58,0.055856186896562576,0.0
6.0,300.0,50.0,15.0,29493.0,0.7119519886074662,0.006914327496057301,2.0,0.58,0.055856186896562576,0.0
1.0,100.0,100.0,7.0,19662.0,1.419242338375692,0.0431248893895087,2.0,0.58,0.055856186896562576,0.0
2.0,200.0,100.0,7.0,16385.0,1.419242338375692,0.0031772509404198006,2.0,0.58,0.055856186896562576,0.0
3.0,300.0,100.0,7.0,13108.0,1.419242338375692,0.012023430718881224,2.0,0.58,0.055856186896562576,0.0
1.0,20.0,20.0,37.0,117972.0,0.2921426156092009,0.06976411862807369,3.0,0.58,0.05592551454901695,0.0
2.0,40.0,20.0,37.0,114695.0,0.2921426156092009,0.02477189409944077,3.0,0.58,0.05592551454901695,0.0
3.0,60.0,20.0,37.0,111418.0,0.2921426156092009,0.005325011491623954,3.0,0.58,0.05592551454901695,0.0
4.0,80.0,20.0,37.0,108141.0,0.2921426156092009,0.002605734319872463,3.0,0.58,0.05592551454901695,0.0
5.0,100.0,20.0,37.0,104864.0,0.2921426156092009,0.006134609890183097,3.0,0.58,0.05592551454901695,0.0
6.0,120.0,20.0,37.0,101587.0,0.2921426156092009,-0.005263132698174139,3.0,0.58,0.05592551454901695,0.0
7.0,140.0,20.0,37.0,98310.0,0.2921426156092009,-0.006048589088814815,3.0,0.58,0.05592551454901695,0.0
8.0,160.0,20.0,37.0,95033.0,0.2921426156092009,-0.006751840378280839,3.0,0.58,0.05592551454901695,0.0
9.0,180.0,20.0,37.0,91756.0,0.2921426156092009,-0.004213427613438365,3.0,0.58,0.05592551454901695,0.0
10.0,200.0,20.0,37.0,88479.0,0.2921426156092009,0.011418690400412768,3.0,0.58,0.05592551454901695,0.0
11.0,220.0,20.0,37.0,85202.0,0.2921426156092009,0.00381913627845106,3.0,0.58,0.05592551454901695,0.0
12.0,240.0,20.0,37.0,81925.0,0.2921426156092009,0.005986206230250939,3.0,0.58,0.05592551454901695,0.0
13.0,260.0,20.0,37.0,78648.0,0.2921426156092009,0.004395234654819375,3.0,0.58,0.05592551454901695,0.0
14.0,280.0,20.0,37.0,75371.0,0.2921426156092009,-0.001207645749048747,3.0,0.58,0.05592551454901695,0.0
15.0,300.0,20.0,37.0,72094.0,0.2921426156092009,-0.009139952458787313,3.0,0.58,0.05592551454901695,0.0
1.0,50.0,50.0,15.0,45878.0,0.7239751805513173,0.05270139133874645,3.0,0.58,0.05592551454901695,0.0
2.0,100.0,50.0,15.0,42601.0,0.7239751805513173,0.0016442209511249393,3.0,0.58,0.05592551454901695,0.0
3.0,150.0,50.0,15.0,39324.0,0.7239751805513173,-0.008522414754090851,3.0,0.58,0.05592551454901695,0.0
4.0,200.0,50.0,15.0,36047.0,0.7239751805513173,0.010103006009558047,3.0,0.58,0.05592551454901695,0.0
5.0,250.0,50.0,15.0,32770.0,0.7239751805513173,0.009618136015894818,3.0,0.58,0.05592551454901695,0.0
