temperature,lag,observable,channel,shapley_contribution,calibration_value,heldout_oracle_value,observed_value,calibration_to_oracle_shift,oracle_representation_residual
0.58,10.0,fs_k7p25,count,-0.002855663734430071,0.4245810899008847,0.41559201206981955,0.45575524978039256,-0.008989077831065173,0.04016323771057301
0.58,10.0,fs_k7p25,kernel,-0.0003431739756045345,0.4245810899008847,0.41559201206981955,0.45575524978039256,-0.008989077831065173,0.04016323771057301
0.58,10.0,fs_k7p25,residual,-0.005790240121030567,0.4245810899008847,0.41559201206981955,0.45575524978039256,-0.008989077831065173,0.04016323771057301
0.58,20.0,msd,count,0.004386739287532281,0.213907980131552,0.22381689514298028,0.1664470675350989,0.009908915011428293,-0.05736982760788137
0.58,20.0,msd,kernel,0.0020154148541487076,0.213907980131552,0.22381689514298028,0.1664470675350989,0.009908915011428293,-0.05736982760788137
0.58,20.0,msd,residual,0.003506760869747304,0.213907980131552,0.22381689514298028,0.1664470675350989,0.009908915011428293,-0.05736982760788137
0.58,20.0,fourth_moment,count,0.005245072347069964,0.1409178199470055,0.15300643789766763,0.07085669523708141,0.012088617950662128,-0.08214974266058622
0.58,20.0,fourth_moment,kernel,0.0037495787938168533,0.1409178199470055,0.15300643789766763,0.07085669523708141,0.012088617950662128,-0.08214974266058622
0.58,20.0,fourth_moment,residual,0.0030939668097753103,0.1409178199470055,0.15300643789766763,0.07085669523708141,0.012088617950662128,-0.08214974266058622
0.58,20.0,fs_k2,count,-0.0023201735287743754,0.874067104413189,0.8688153520891586,0.8977986067917458,-0.005251752324030412,0.028983254702587224
0.58,20.0,fs_k2,kernel,-0.0009425566622056993,0.874067104413189,0.8688153520891586,0.8977986067917458,-0.005251752324030412,0.028983254702587224
0.58,20.0,fs_k2,residual,-0.001989022133050337,0.874067104413189,0.8688153520891586,0.8977986067917458,-0.005251752324030412,0.028983254702587224
0.58,20.0,fs_k4,count,-0.005019484518772266,0.6270413157911253,0.615143078495773,0.6708725623542008,-0.011898237295352332,0.0557294838584278
0.58,20.0,fs_k4,kernel,-0.0014965357773135677,0.6270413157911253,0.615143078495773,0.6708725623542008,-0.011898237295352332,0.0557294838584278
0.58,20.0,fs_k4,residual,-0.005382216999266497,0.6270413157911253,0.615143078495773,0.6708725623542008,-0.011898237295352332,0.0557294838584278
0.58,20.0,fs_k7p25,count,-0.004051475120177431,0.3055612182619213,0.2931789176318086,0.33086790404330846,-0.012382300630112697,0.03768898641149987
0.58,20.0,fs_k7p25,kernel,-0.0006298467113730425,0.3055612182619213,0.2931789176318086,0.33086790404330846,-0.012382300630112697,0.03768898641149987
0.58,20.0,fs_k7p25,residual,-0.007700978798562222,0.3055612182619213,0.2931789176318086,0.33086790404330846,-0.012382300630112697,0.03768898641149987
0.58,50.0,msd,count,0.011348099327963221,0.3927058150934471,0.41526545541182835,0.3399251483932837,0.022559640318381258,-0.07534030701854466
0.58,50.0,msd,kernel,0.006145400062339998,0.3927058150934471,0.41526545541182835,0.3399251483932837,0.022559640318381258,-0.07534030701854466
0.58,50.0,msd,residual,0.0050661409280780365,0.3927058150934471,0.41526545541182835,0.3399251483932837,0.022559640318381258,-0.07534030701854466
0.58,50.0,fourth_moment,count,0.01859219502596492,0.4072069437944597,0.4477773838043325,0.27125710629798216,0.04057044000987281,-0.17652027750635035
0.58,50.0,fourth_moment,kernel,0.014444041894008181,0.4072069437944597,0.4477773838043325,0.27125710629798216,0.04057044000987281,-0.17652027750635035
0.58,50.0,fourth_moment,residual,0.007534203089899706,0.4072069437944597,0.4477773838043325,0.27125710629798216,0.04057044000987281,-0.17652027750635035
0.58,50.0,fs_k2,count,-0.0055279039520873905,0.7842244719964379,0.7734872264255801,0.8051858250811226,-0.010737245570857756,0.031698598655542476
0.58,50.0,fs_k2,kernel,-0.0026439048531941936,0.7842244719964379,0.7734872264255801,0.8051858250811226,-0.010737245570857756,0.031698598655542476
0.58,50.0,fs_k2,residual,-0.002565436765576171,0.7842244719964379,0.7734872264255801,0.8051858250811226,-0.010737245570857756,0.031698598655542476
0.58,50.0,fs_k4,count,-0.009886144413224421,0.4484042217733881,0.4298347760263043,0.4636749863426945,-0.0185694457470838,0.033840210316390174
0.58,50.0,fs_k4,kernel,-0.0033119096366863807,0.4484042217733881,0.4298347760263043,0.4636749863426945,-0.0185694457470838,0.033840210316390174
0.58,50.0,fs_k4,residual,-0.005371391697172998,0.4484042217733881,0.4298347760263043,0.4636749863426945,-0.0185694457470838,0.033840210316390174
0.58,50.0,fs_k7p25,count,-0.005813437974088351,0.15909095812427768,0.14745776402307148,0.1420029922620639,-0.011633194101206196,-0.005454771761007587
0.58,50.0,fs_k7p25,kernel,-0.0007647026729666143,0.15909095812427768,0.14745776402307148,0.1420029922620639,-0.011633194101206196,-0.005454771761007587
0.58,50.0,fs_k7p25,residual,-0.005055053454151229,0.15909095812427768,0.14745776402307148,0.1420029922620639,-0.011633194101206196,-0.005454771761007587
0.58,100.0,msd,count,0.02205354325589089,0.6508305177731339,0.6936069382832113,0.6277432713959149,0.04277642051007735,-0.06586366688729639
0.58,100.0,msd,kernel,0.015879121046072715,0.6508305177731339,0.6936069382832113,0.6277432713959149,0.04277642051007735,-0.06586366688729639
0.58,100.0,msd,residual,0.004843756208113743,0.6508305177731339,0.6936069382832113,0.6277432713959149,0.04277642051007735,-0.06586366688729639
0.58,100.0,fourth_moment,count,0.051751846053214104,0.9997954698265884,1.1170953935948922,0.8354975051800352,0.11729992376830378,-0.281597888414857
