replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_clock_prediction,two_clock_prediction,hmm_prediction,static_prediction,poisson_prediction
4.0,0.58,20.0,7.0,140.0,0.005917313479760636,0.0037546509408906345,0.0036895510548702846,0.00196581899779424,0.009284787363163426,0.0
4.0,0.58,20.0,8.0,160.0,0.0021598439007536195,0.0024564861722465034,0.0024087226406823937,0.0011344496245113056,0.009284787363163426,0.0
4.0,0.58,20.0,9.0,180.0,0.0019418374927320685,0.0016071598690361576,0.0015726589746550758,0.0006546767286295951,0.009284787363163426,0.0
4.0,0.58,20.0,10.0,200.0,0.002538051512112839,0.001051486824482367,0.0010268703239613773,0.0003778057744906744,0.009284787363163426,0.0
4.0,0.58,20.0,11.0,220.0,-2.0042756352103597e-05,0.0006879368775696684,0.000670546282151764,0.00021802700019181003,0.009284787363163426,0.0
4.0,0.58,20.0,12.0,240.0,0.004117841335042882,0.0004500837637725829,0.00043789792707128207,0.00012582066242032225,0.009284787363163426,0.0
4.0,0.58,20.0,13.0,260.0,0.0011767193376414468,0.0002944679970164545,0.0002859873968629429,7.260953495650286e-05,0.009284787363163426,0.0
4.0,0.58,20.0,14.0,280.0,0.0024723112914190395,0.00019265614147035966,0.00018678831756728122,4.1902056984784e-05,0.009284787363163426,0.0
4.0,0.58,20.0,15.0,300.0,0.0037302748988401542,0.00012604557786350285,0.0001220057519546158,2.4181154453170595e-05,0.009284787363163426,0.0
4.0,0.58,20.0,16.0,320.0,0.002027659864311023,8.246551383044627e-05,7.969621288743e-05,1.3954642630084387e-05,0.009284787363163426,0.0
4.0,0.58,20.0,17.0,340.0,0.001893287834943271,5.395318968416315e-05,5.206200405090368e-05,8.05305020943016e-06,0.009284787363163426,0.0
4.0,0.58,20.0,18.0,360.0,0.008860412747945065,3.529895761130354e-05,3.401174894808873e-05,4.6473148323978945e-06,0.009284787363163426,0.0
4.0,0.58,20.0,19.0,380.0,-0.002464177200149958,2.3094397490466573e-05,2.2220868648161316e-05,2.68190742510641e-06,0.009284787363163426,0.0
4.0,0.58,20.0,20.0,400.0,0.0050321284951710555,1.5109545197359532e-05,1.451831491436327e-05,1.5476953243405896e-06,0.009284787363163426,0.0
4.0,0.58,20.0,21.0,420.0,0.006498604710702605,9.885443262388303e-06,9.486230281446942e-06,8.931556677019465e-07,0.009284787363163426,0.0
4.0,0.58,20.0,22.0,440.0,-0.0019155038968773877,6.467566509611147e-06,6.198585136612462e-06,5.154289957475894e-07,0.009284787363163426,0.0
4.0,0.58,20.0,23.0,460.0,-0.004765244701494146,4.23141536964704e-06,4.050532756913012e-06,2.97447644642864e-07,0.009284787363163426,0.0
4.0,0.58,20.0,24.0,480.0,-0.002448412753043537,2.7684100355021683e-06,2.6469859636204968e-06,1.7165332574132988e-07,0.009284787363163426,0.0
4.0,0.58,20.0,25.0,500.0,-0.0037954208725759987,1.8112365379313722e-06,1.7298574108286695e-06,9.905899330094423e-08,0.009284787363163426,0.0
4.0,0.58,20.0,26.0,520.0,-0.0033394845109344247,1.1850043000377137e-06,1.1305439372473322e-06,5.716570949859471e-08,0.009284787363163426,0.0
4.0,0.58,20.0,27.0,540.0,0.0032238259817817584,7.752908919956183e-07,7.388943945969396e-07,3.2989617939581593e-08,0.009284787363163426,0.0
4.0,0.58,20.0,28.0,560.0,0.0027037298867135587,5.072352625152777e-07,4.829413891025574e-07,1.9037897042567398e-08,0.009284787363163426,0.0
4.0,0.58,20.0,29.0,580.0,-0.01215348493984408,3.318594532649254e-07,3.1566248734876934e-07,1.0986532928850079e-08,0.009284787363163426,0.0
4.0,0.58,20.0,30.0,600.0,0.006293567495943488,2.1711955942333234e-07,2.0633238602624208e-07,6.340191121257862e-09,0.009284787363163426,0.0
4.0,0.58,50.0,1.0,50.0,0.07680942761048362,0.05527050030462647,0.05442944159377238,0.05260989111422449,0.02299429483821459,0.0
4.0,0.58,50.0,2.0,100.0,0.01054704781193319,0.019159154144041755,0.01860011573273921,0.017475664081073414,0.02299429483821459,0.0
