parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,softmode_heldout_committor,geometry_softmode_heldout_committor,thermodynamic_claim_allowed
4,20,1387,7,8,0.875,0.692449328142295,0.6675540603140014,0.6860956453832798,False
4,21,1394,5,8,0.625,0.7598589476253458,0.7127977309234481,0.77582536622424,False
4,22,1438,4,8,0.5,0.6344282973925702,0.6325605532077895,0.5919814411521334,False
4,23,1470,8,8,1.0,0.8279937138683195,0.5854158596058648,0.7564339014125795,False
4,24,1480,6,8,0.75,0.7469173906393681,0.6968212741601307,0.7493746437937846,False
4,25,1576,4,8,0.5,0.6473605372903359,0.6890287342305972,0.6607865370235074,False
4,26,1583,8,8,1.0,0.633052683157608,0.6760865876077253,0.6202014548312359,False
4,27,1663,5,8,0.625,0.7164503312426035,0.6593392157855615,0.6901466627656546,False
4,28,1725,5,8,0.625,0.6932568084446197,0.6861642994554741,0.6958622269163771,False
4,29,1737,6,8,0.75,0.6895282393903078,0.6484055240364404,0.6597897152939738,False
4,30,1809,7,8,0.875,0.6853165589884109,0.7037575570358195,0.7187731418822194,False
4,31,1831,5,8,0.625,0.732267006915635,0.6876551577030146,0.7331174951685815,False
4,32,1836,4,8,0.5,0.601582297984213,0.6790793911273235,0.5890405572377285,False
4,33,1849,4,8,0.5,0.6872480927432464,0.6645105789071132,0.6697628950249401,False
4,34,1911,7,8,0.875,0.708319444196588,0.6641836218700206,0.6955006846980941,False
4,35,1937,6,8,0.75,0.7628190765025004,0.7174705855186411,0.781205922979212,False
4,36,1956,4,8,0.5,0.6599426322020406,0.7030339397093405,0.6763043288510991,False
4,37,1959,6,8,0.75,0.6885756389102641,0.718121287160123,0.7163319644056042,False
4,38,1975,4,8,0.5,0.6258256581873854,0.7342735933257025,0.6778099858330379,False
4,39,2010,5,8,0.625,0.6672256249946752,0.6804986555443604,0.6665118350189361,False
4,40,2138,6,8,0.75,0.6713563591381055,0.7164059824000907,0.7048982244220571,False
4,41,2141,6,8,0.75,0.7624022381506629,0.7173728450897775,0.7780579595441902,False
4,42,2256,6,8,0.75,0.6981251299528288,0.6478884746660927,0.668856381977977,False
4,43,2277,6,8,0.75,0.7455983958864265,0.6921221471675079,0.7479200764687685,False
4,44,2288,3,8,0.375,0.6484822153917005,0.6699115050191418,0.623149405830789,False
4,45,2412,5,8,0.625,0.6400805514849262,0.7029557400595204,0.6586151989557422,False
4,46,2426,7,8,0.875,0.6833907833387737,0.6434073408724729,0.639906086586159,False
4,47,2541,4,8,0.5,0.6199497778486416,0.591744276494099,0.5446217977745883,False
4,48,2590,5,8,0.625,0.6152090740582609,0.6952689070235906,0.6133817028303339,False
4,49,2687,1,8,0.125,0.6557722283550123,0.6767930095890147,0.6546476301496978,False
4,50,2823,4,8,0.5,0.7485534005791948,0.6330910914858369,0.7106238446172779,False
4,51,2826,6,8,0.75,0.7118340522852953,0.7308292247820409,0.7344527572260701,False
4,52,2828,1,8,0.125,0.6116682098569545,0.7119004148429062,0.6258115165611391,False
4,53,2845,6,8,0.75,0.6136807838394697,0.7224408170894945,0.6391434700700748,False
4,54,2879,6,8,0.75,0.6557553349182066,0.6658532217496317,0.6380165008541084,False
4,55,2971,5,8,0.625,0.670439634282699,0.6725660419222012,0.6688380453017057,False
4,56,3044,7,8,0.875,0.7035365209422918,0.6490947882556654,0.6694844879258393,False
4,57,3053,5,8,0.625,0.7536548569834295,0.6738207651801041,0.7408791457133448,False
4,58,3080,4,8,0.5,0.69605074239104,0.727969366229291,0.7324740896707094,False
4,59,3106,4,8,0.5,0.680176792240252,0.7249286699982519,0.7277627755912144,False
4,60,3151,6,8,0.75,0.6629974240070773,0.6490476534219549,0.6260670075271276,False
4,61,3182,5,8,0.625,0.66278771966449,0.7421429108783346,0.7092015461489863,False
4,62,3209,4,8,0.5,0.6139859034275412,0.7061389940500179,0.6232683079966355,False
4,63,3267,6,8,0.75,0.7287993691123557,0.749187253621298,0.7813289095994893,False
5,0,128,6,8,0.75,0.6987803666962108,0.6530934775358751,0.6731093005474441,False
5,1,134,8,8,1.0,0.7488852218737609,0.6696250717300943,0.7488185045139737,False
5,2,236,5,8,0.625,0.7702172052429066,0.6884796958358795,0.7759999972145418,False
5,3,294,5,8,0.625,0.6465375014687748,0.6502078460718986,0.617801521127644,False
5,4,364,5,8,0.625,0.680187855691016,0.6596955845802517,0.6728806697262308,False
5,5,419,5,8,0.625,0.6422777157894303,0.6842480658979174,0.6546477883980771,False
5,6,422,5,8,0.625,0.6242963208796918,0.6400097646473,0.5932582406062258,False
