replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
2.0,0.45,50.0,0.0,4.0,0.0018771788683293108,0.0021898058577417335
2.0,0.45,50.0,0.0,5.0,0.0005024304688631817,0.000498320360911058
2.0,0.45,50.0,0.0,6.0,0.00010171905197843556,9.4500158547581e-05
2.0,0.45,50.0,0.0,7.0,3.390635065947852e-05,1.5360653707959233e-05
2.0,0.45,50.0,0.0,8.0,0.0,2.1847156205203306e-06
2.0,0.45,50.0,0.0,9.0,0.0,2.7620250101502464e-07
2.0,0.45,50.0,0.0,10.0,3.0823955144980473e-06,3.1426991579792604e-08
2.0,0.45,50.0,1.0,0.0,0.04910872533698289,0.05360834048676208
2.0,0.45,50.0,1.0,1.0,0.0162627187344917,0.021676522593887103
2.0,0.45,50.0,1.0,2.0,0.008683108164341,0.011846850762078361
2.0,0.45,50.0,1.0,3.0,0.0037605225276876176,0.004489220291412508
2.0,0.45,50.0,1.0,4.0,0.001306935698147172,0.001276961352879242
2.0,0.45,50.0,1.0,5.0,0.00043770016305872273,0.0002905914084941401
2.0,0.45,50.0,1.0,6.0,0.00016028456675389846,5.510699354941326e-05
2.0,0.45,50.0,1.0,7.0,3.698874617397657e-05,8.957439433334856e-06
2.0,0.45,50.0,1.0,8.0,9.247186543494142e-06,1.2739990252270067e-06
2.0,0.45,50.0,1.0,9.0,0.0,1.6106522686689703e-07
2.0,0.45,50.0,1.0,10.0,0.0,1.8326392809412403e-08
2.0,0.45,50.0,2.0,0.0,0.019120099376431388,0.020518370815091086
2.0,0.45,50.0,2.0,1.0,0.00879099200734843,0.011846850762078361
2.0,0.45,50.0,2.0,2.0,0.005332544240081622,0.006597921947238805
2.0,0.45,50.0,2.0,3.0,0.0024566692250549437,0.0025012580332903237
2.0,0.45,50.0,2.0,4.0,0.0010141081242698575,0.000711490837537362
2.0,0.45,50.0,2.0,5.0,0.000391464230341252,0.00016191027647748798
2.0,0.45,50.0,2.0,6.0,0.0001171310295509258,3.070424086562127e-05
2.0,0.45,50.0,2.0,7.0,2.7741559630482425e-05,4.990861598708391e-06
2.0,0.45,50.0,2.0,8.0,9.247186543494142e-06,7.098404470531897e-07
2.0,0.45,50.0,2.0,9.0,3.0823955144980473e-06,8.974152285835125e-08
2.0,0.45,50.0,2.0,10.0,0.0,1.0211008491461192e-08
2.0,0.45,50.0,3.0,0.0,0.006183285402083083,0.0077000021395959095
2.0,0.45,50.0,3.0,1.0,0.00377285210974561,0.004489220291412508
2.0,0.45,50.0,3.0,2.0,0.002542976299460889,0.0025012580332903237
2.0,0.45,50.0,3.0,3.0,0.0013439244443211487,0.0009482304163343843
2.0,0.45,50.0,3.0,4.0,0.000588737543269127,0.00026972722568688963
2.0,0.45,50.0,3.0,5.0,0.00021885008152936137,6.138042483850632e-05
2.0,0.45,50.0,3.0,6.0,5.24007237464668e-05,1.1640023041512576e-05
2.0,0.45,50.0,3.0,7.0,2.157676860148633e-05,1.8920430001945548e-06
2.0,0.45,50.0,3.0,8.0,3.0823955144980473e-06,2.691015614317165e-07
2.0,0.45,50.0,3.0,9.0,0.0,3.402114380308459e-08
2.0,0.45,50.0,3.0,10.0,0.0,3.871008393860695e-09
2.0,0.45,50.0,4.0,0.0,0.0018432725176698323,0.0021898058577417335
2.0,0.45,50.0,4.0,1.0,0.0013593364218936388,0.001276961352879242
2.0,0.45,50.0,4.0,2.0,0.0010171905197843556,0.000711490837537362
2.0,0.45,50.0,4.0,3.0,0.0005486664015806524,0.00026972722568688963
2.0,0.45,50.0,4.0,4.0,0.0002465916411598438,7.67247868703189e-05
2.0,0.45,50.0,4.0,5.0,9.247186543494142e-05,1.745986154049135e-05
2.0,0.45,50.0,4.0,6.0,2.4659164115984378e-05,3.31104242383581e-06
2.0,0.45,50.0,4.0,7.0,1.5411977572490238e-05,5.38197786982385e-07
2.0,0.45,50.0,4.0,8.0,0.0,7.654681464489005e-08
2.0,0.45,50.0,4.0,9.0,0.0,9.677425039254836e-09
2.0,0.45,50.0,4.0,10.0,0.0,1.101120931581278e-09
2.0,0.45,50.0,5.0,0.0,0.000517842446435672,0.000498320360911058
2.0,0.45,50.0,5.0,1.0,0.00048085370026169536,0.0002905914084941401
2.0,0.45,50.0,5.0,2.0,0.0003575578796817735,0.00016191027647748798
2.0,0.45,50.0,5.0,3.0,0.00020343810395687112,6.138042483850632e-05
2.0,0.45,50.0,5.0,4.0,7.397749234795314e-05,1.745986154049135e-05
2.0,0.45,50.0,5.0,5.0,2.7741559630482425e-05,3.973250072743976e-06
2.0,0.45,50.0,5.0,6.0,1.2329582057992189e-05,7.534767398272505e-07
2.0,0.45,50.0,5.0,7.0,0.0,1.2247487709563634e-07
