model,replicate,realization,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,surrogate_seed,scheduled_return_fraction_absolute_error,scheduled_return_given_return_absolute_error,scheduled_return_given_escape_absolute_error,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,geometric_return_fraction_absolute_error,return_closure_quantile_maximum_error_over_dw,geometric_return_quality_required,unsupported_tuple_count,active_particle_count,non_propagating_particle_count,return_holding_time_mean_relative_error,return_holding_time_quantile_maximum_relative_error,escape_holding_time_mean_relative_error,escape_holding_time_quantile_maximum_relative_error,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
anchor_aware_semi_markov,1.0,5.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1571079.0,0.060199702260771926,0.04670953095464836,0.06024790809549191,0.006511314469500595,0.08245402479696451,0.0192236849889397,0.035982371898559684,0.023545022637707247,0.01343101914555217,1.0,0.0,2940.0,172.0,0.09828253584050917,0.1428571428571429,0.1672529007279152,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,5.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1571079.0,0.060199702260771926,0.04670953095464836,0.06024790809549191,0.006511314469500595,0.08245402479696451,0.0001402255991614365,0.0017508259783817204,0.034008325558805175,1.2037716989411698,0.0,0.0,2940.0,172.0,0.09828253584050917,0.1428571428571429,0.1672529007279152,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,6.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1668488.0,0.06004249779688192,0.04667258683748471,0.060066500281908686,0.009104807550985639,0.07848621870738892,0.018913863057780145,0.03401714468046102,0.02312969727899805,0.013011625336974253,1.0,0.0,2940.0,172.0,0.11111238462753315,0.1428571428571429,0.16294567672411664,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,6.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1668488.0,0.06004249779688192,0.04667258683748471,0.060066500281908686,0.009104807550985639,0.07848621870738892,0.0006623230566215887,0.0016042856260986005,0.035138559395605395,1.196794021387748,0.0,0.0,2940.0,172.0,0.11111238462753315,0.1428571428571429,0.16294567672411664,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,7.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1765897.0,0.06278915368893606,0.05048543015247514,0.06175818328493571,0.008810901838029794,0.07875465489140221,0.019586032383541174,0.03513421713177356,0.021772701462810684,0.013339769046179117,1.0,0.0,2940.0,172.0,0.08919985760381233,0.1428571428571429,0.1589492040625614,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,7.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1765897.0,0.06278915368893606,0.05048543015247514,0.06175818328493571,0.008810901838029794,0.07875465489140221,0.0006801984560130814,0.0024459577709087243,0.03661811931714143,1.2063687515495032,0.0,0.0,2940.0,172.0,0.08919985760381233,0.1428571428571429,0.1589492040625614,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,8.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1863306.0,0.06047630554424949,0.04800607349955566,0.05988457827672283,0.009728592695638305,0.08057930600391972,0.01673829190329648,0.032581716183820886,0.02358340542607862,0.013451325699738226,1.0,0.0,2940.0,172.0,0.11982860569257203,0.1428571428571429,0.16399659241109887,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,8.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1863306.0,0.06047630554424949,0.04800607349955566,0.05988457827672283,0.009728592695638305,0.08057930600391972,0.0018740723519041769,0.004718884487096842,0.035011332904336,1.2059504875989233,0.0,0.0,2940.0,172.0,0.11982860569257203,0.1428571428571429,0.16399659241109887,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,9.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1960715.0,0.06296496190475609,0.05054629053864235,0.06193843315576697,0.006246939995669942,0.081961444271207,0.020072050048865975,0.03507344824227909,0.022128663441416285,0.011968327301867587,1.0,0.0,2940.0,172.0,0.09517411205067272,0.1428571428571429,0.14760015741703458,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,9.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1960715.0,0.06296496190475609,0.05054629053864235,0.06193843315576697,0.006246939995669942,0.081961444271207,0.0007339520670319177,0.001511697813367241,0.03445305865518167,1.1852696512147542,0.0,0.0,2940.0,172.0,0.09517411205067272,0.1428571428571429,0.14760015741703458,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,10.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2058124.0,0.060464820698478694,0.048359210643727335,0.05962931264790755,0.0040056456384489625,0.08647435540771164,0.01831788401800774,0.035305453174597434,0.023899813295784944,0.014426120552165134,1.0,0.0,2940.0,172.0,0.105814827376565,0.1428571428571429,0.16110813390776246,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,10.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2058124.0,0.060464820698478694,0.048359210643727335,0.05962931264790755,0.0040056456384489625,0.08647435540771164,0.0035506850685834423,0.0077748210975082666,0.0348656188029805,1.1941076325425717,0.0,0.0,2940.0,172.0,0.105814827376565,0.1428571428571429,0.16110813390776246,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
