lag,metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,temperature,independence_class,thermodynamic_claim_allowed
32.0,msd,0.2305550642299262,0.004930385932019407,0.00220493561986081,0.22443318152088737,0.23667694693896502,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,ngp_3d,0.4993753291491137,0.0182754100590782,0.00817301184175646,0.4766834104263453,0.5220672478718821,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,overlap_mean,0.36054898435737887,0.009164546475311017,0.004098509780350306,0.34916969693912,0.37192827177563775,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,overlap_chi4,5.168490241911316,1.0219931004837144,0.4570492090434717,3.8995182026280437,6.4374622811945885,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,fs_k5,0.45541064845570267,0.008271578239649828,0.003699162245013012,0.4451401275472038,0.46568116936420156,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,fs_k7p25,0.24091498522179333,0.007941900357749136,0.003551725814091393,0.2310538134702546,0.25077615697333205,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
32.0,fs_k9,0.1398343981335951,0.006261439591469035,0.0028002009127066547,0.1320597940159403,0.1476090022512499,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,msd,0.4081911405058783,0.01010704968719924,0.0045200100305090975,0.39564158078122635,0.42074070023053023,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,ngp_3d,0.37712666580372006,0.0187986308599305,0.008407003297345984,0.35378508264942204,0.4004682489580181,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,overlap_mean,0.19662784389516155,0.008089276589931763,0.003617634468777022,0.18658368038193074,0.20667200740839237,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
64.0,overlap_chi4,3.060264442692617,0.8985255354107784,0.401832835339579,1.9445976339062898,4.175931251478944,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
