parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,radial_heldout_committor,geometry_radial_heldout_committor,geometry_heldout_baseline_committor,radial_heldout_baseline_committor,geometry_radial_heldout_baseline_committor,thermodynamic_claim_allowed
3,19,1285,4,8,0.5,0.6660950027345459,0.6177230522100062,0.6479439071021198,0.66748046875,0.66748046875,0.66748046875,False
3,20,1387,5,8,0.625,0.6110113519119814,0.6640337113409325,0.6458221294329735,0.66748046875,0.66748046875,0.66748046875,False
3,21,1394,6,8,0.75,0.6843310353813237,0.7572289388144042,0.7730216304161722,0.66748046875,0.66748046875,0.66748046875,False
3,22,1438,6,8,0.75,0.675584740911921,0.6510400777843539,0.6404650815244255,0.66748046875,0.66748046875,0.66748046875,False
3,23,1470,7,8,0.875,0.6251775891925578,0.6131656354353215,0.5713579403541581,0.66748046875,0.66748046875,0.66748046875,False
3,24,1480,6,8,0.75,0.7064546056963786,0.6796783000706009,0.7055832537501793,0.66748046875,0.66748046875,0.66748046875,False
3,25,1576,8,8,1.0,0.7479711359898503,0.7328598925734683,0.762767153803435,0.66748046875,0.66748046875,0.66748046875,False
3,26,1583,5,8,0.625,0.6752740559749504,0.7068545198656635,0.7090668704755321,0.66748046875,0.66748046875,0.66748046875,False
3,27,1663,8,8,1.0,0.680995530024801,0.6709857669335705,0.6716612599076672,0.66748046875,0.66748046875,0.66748046875,False
3,28,1725,5,8,0.625,0.6773240866368513,0.5679297587906329,0.5679879647109174,0.66748046875,0.66748046875,0.66748046875,False
3,29,1737,5,8,0.625,0.6419071775998125,0.6735640118915529,0.6809827581063183,0.66748046875,0.66748046875,0.66748046875,False
3,30,1809,6,8,0.75,0.7233425882199059,0.7177389996126147,0.6828795721557231,0.66748046875,0.66748046875,0.66748046875,False
3,31,1831,6,8,0.75,0.7134218337742225,0.6809900261776237,0.6797629454253205,0.66748046875,0.66748046875,0.66748046875,False
3,32,1836,5,8,0.625,0.6102433080078266,0.5940523604461081,0.6599869321461574,0.66748046875,0.66748046875,0.66748046875,False
3,33,1849,3,8,0.375,0.6367638621693584,0.627464930823323,0.6175968289707839,0.66748046875,0.66748046875,0.66748046875,False
3,34,1911,4,8,0.5,0.7234826547484304,0.6238752793190232,0.6247255609621132,0.66748046875,0.66748046875,0.66748046875,False
3,35,1937,7,8,0.875,0.6348897614518426,0.6526638302172033,0.6251129594516756,0.66748046875,0.66748046875,0.66748046875,False
3,36,1956,6,8,0.75,0.6652603546390145,0.6922305645206703,0.6683337641508076,0.66748046875,0.66748046875,0.66748046875,False
3,37,1959,6,8,0.75,0.6463355225539936,0.706349383406651,0.6768175413867187,0.66748046875,0.66748046875,0.66748046875,False
3,38,1975,4,8,0.5,0.6800061712024781,0.6450691639821265,0.6196737511035696,0.66748046875,0.66748046875,0.66748046875,False
3,39,2010,6,8,0.75,0.6818987611858259,0.7016961888278811,0.7219785128848228,0.66748046875,0.66748046875,0.66748046875,False
3,40,2138,5,8,0.625,0.6952844189058996,0.6063281892738318,0.6553244939922833,0.66748046875,0.66748046875,0.66748046875,False
3,41,2141,4,8,0.5,0.686633064411829,0.678034808111372,0.713243518451856,0.66748046875,0.66748046875,0.66748046875,False
3,42,2256,5,8,0.625,0.6717387804371056,0.6674971572756965,0.6783650981614805,0.66748046875,0.66748046875,0.66748046875,False
3,43,2277,7,8,0.875,0.6762291874509571,0.6741793517390019,0.6824932556322975,0.66748046875,0.66748046875,0.66748046875,False
3,44,2288,4,8,0.5,0.5800108559672839,0.5378714778902699,0.5251013089207439,0.66748046875,0.66748046875,0.66748046875,False
3,45,2412,6,8,0.75,0.6537949327022821,0.6473046140042248,0.6311783482179185,0.66748046875,0.66748046875,0.66748046875,False
3,46,2426,5,8,0.625,0.6338515853459105,0.63628658616783,0.6329357535075648,0.66748046875,0.66748046875,0.66748046875,False
3,47,2541,8,8,1.0,0.6789086875758448,0.6902136305364437,0.6989420925701745,0.66748046875,0.66748046875,0.66748046875,False
3,48,2590,6,8,0.75,0.7521266765438419,0.6998899553561846,0.6869081331351594,0.66748046875,0.66748046875,0.66748046875,False
3,49,2687,6,8,0.75,0.5992088359106393,0.6323611221503238,0.6027075122326372,0.66748046875,0.66748046875,0.66748046875,False
3,50,2823,7,8,0.875,0.6834441935216997,0.6987510543265476,0.7368102195562374,0.66748046875,0.66748046875,0.66748046875,False
3,51,2826,6,8,0.75,0.6829259037648251,0.7245575688917578,0.7292640046127679,0.66748046875,0.66748046875,0.66748046875,False
3,52,2828,7,8,0.875,0.7534673969004647,0.7012644618122336,0.7141151611242534,0.66748046875,0.66748046875,0.66748046875,False
3,53,2845,5,8,0.625,0.6366906735407754,0.6541096175538044,0.6321312894740353,0.66748046875,0.66748046875,0.66748046875,False
3,54,2879,8,8,1.0,0.6454857705390548,0.7182492642502059,0.7123958188211607,0.66748046875,0.66748046875,0.66748046875,False
3,55,2971,8,8,1.0,0.7243735207897184,0.7314254625482506,0.7273283221811503,0.66748046875,0.66748046875,0.66748046875,False
3,56,3044,7,8,0.875,0.7496730603346438,0.7798009394528794,0.8009791982010019,0.66748046875,0.66748046875,0.66748046875,False
