replicate,temperature,block_size,first_count,second_count,heldout_probability,two_clock_probability,single_clock_probability,hmm_probability,poisson_probability
1.0,0.45,50.0,9.0,5.0,0.0,6.850834412224162e-06,7.933972649775187e-06,2.104076976666549e-09,5.488972482158323e-17
1.0,0.45,50.0,9.0,6.0,0.0,5.277397938308928e-06,6.162237606195237e-06,3.9543920921054583e-10,2.296619363186445e-18
1.0,0.45,50.0,9.0,7.0,0.0,3.756558941725171e-06,4.394469778315586e-06,6.370170346461532e-11,8.23645255465623e-20
1.0,0.45,50.0,9.0,8.0,0.0,2.5048420282116766e-06,2.9230025650747186e-06,8.979050544140248e-12,2.58463626149643e-21
1.0,0.45,50.0,9.0,9.0,0.0,1.5812794909069952e-06,1.8348577037746264e-06,1.1250122826231485e-12,7.209516540349468e-23
1.0,0.45,50.0,9.0,10.0,0.0,9.529961102529608e-07,1.0967771568272322e-06,1.2686055912571826e-13,1.809903256713243e-24
1.0,0.45,50.0,10.0,0.0,0.0,1.0199848808069265e-05,6.82224474707474e-06,2.7364774848769194e-08,1.65834705460272e-13
1.0,0.45,50.0,10.0,1.0,0.0,3.095674718597412e-06,2.2977436777973383e-06,1.7913963468018766e-08,4.163174767805981e-14
1.0,0.45,50.0,10.0,2.0,0.0,3.1231348013578766e-06,2.972540007016236e-06,9.932241046139266e-09,5.225692685735348e-15
1.0,0.45,50.0,10.0,3.0,0.0,3.4914070403564275e-06,3.7319907775964534e-06,3.731867757573383e-09,4.372923000482045e-16
1.0,0.45,50.0,10.0,4.0,0.0,3.5485889383918058e-06,3.986921726926535e-06,1.0520387054271e-09,2.7444862410791614e-17
1.0,0.45,50.0,10.0,5.0,0.0,3.2239476025215506e-06,3.7039619067372678e-06,2.3726352665331955e-10,1.3779716179118668e-18
1.0,0.45,50.0,10.0,6.0,0.0,2.6548287535852515e-06,3.0782485548213447e-06,4.45911924301061e-11,5.765516788259361e-20
1.0,0.45,50.0,10.0,7.0,0.0,2.013630200424177e-06,2.33901745981598e-06,7.183240435330269e-12,2.067709009197144e-21
1.0,0.45,50.0,10.0,8.0,0.0,1.4259399632934656e-06,1.6515079006985439e-06,1.012511054360891e-12,6.488564886314521e-23
1.0,0.45,50.0,10.0,9.0,0.0,9.52996110252961e-07,1.0967771568272322e-06,1.2686055912571826e-13,1.809903256713243e-24
1.0,0.45,50.0,10.0,10.0,0.0,6.062706722946063e-07,6.915013444082948e-07,1.4305267338206314e-14,4.543646970400622e-26
2.0,0.45,20.0,0.0,0.0,0.8805144287862466,0.8609535170003383,0.8623386389485346,0.863855060057046,0.8172410556327804
2.0,0.45,20.0,0.0,1.0,0.03679901173200584,0.04926349848099734,0.048342238048138204,0.044354252542962824,0.08246827624072943
2.0,0.45,20.0,0.0,2.0,0.009120399817150812,0.007545479732337881,0.007234769748557567,0.009163207417144771,0.004160961162708174
2.0,0.45,20.0,0.0,3.0,0.00154784533311764,0.0014194814829900906,0.001321325058189,0.001493611795025306,0.00013996168051357843
2.0,0.45,20.0,0.0,4.0,0.00021324234993069622,0.00029561321822211737,0.00026533284475419976,0.00018321803601041868,3.530903902880086e-06
2.0,0.45,20.0,0.0,5.0,1.593189970746581e-05,6.583410143307839e-05,5.660517313963454e-05,1.7981091598855297e-05,7.126111847543475e-08
2.0,0.45,20.0,0.0,6.0,2.4510614934562785e-06,1.5431210164813075e-05,1.2636618008720817e-05,1.4705613327255914e-06,1.1985002391379647e-09
2.0,0.45,20.0,1.0,0.0,0.036933820114145935,0.04926349848099734,0.048342238048138204,0.044354252542962824,0.08246827624072943
2.0,0.45,20.0,1.0,1.0,0.01304087267593413,0.01159789350726726,0.01224271970498028,0.015481150913310647,0.008321922325416347
2.0,0.45,20.0,1.0,2.0,0.003668013524957321,0.002945046246666869,0.0031342650009974866,0.0037698583377530066,0.0004198850415407353
2.0,0.45,20.0,1.0,3.0,0.0007193865483294178,0.0007338354429739188,0.0007813954101044723,0.0006165404671406131,1.4123615611520345e-05
2.0,0.45,20.0,1.0,4.0,0.00011397435944571696,0.00018082767462871465,0.00019186363953282428,7.563430611233226e-05,3.5630559237717376e-07
2.0,0.45,20.0,1.0,5.0,1.4706368960737672e-05,4.4293249443175396e-05,4.6667327777523465e-05,7.422789603149459e-06,7.191001434827789e-09
2.0,0.45,20.0,1.0,6.0,2.4510614934562785e-06,1.0820194014745092e-05,1.128066772000625e-05,6.070636780035609e-07,1.2094136499209603e-10
2.0,0.45,20.0,2.0,0.0,0.008977012719783621,0.007545479732337881,0.007234769748557567,0.009163207417144773,0.004160961162708174
2.0,0.45,20.0,2.0,1.0,0.003794243191870319,0.002945046246666869,0.0031342650009974866,0.0037698583377530066,0.0004198850415407353
2.0,0.45,20.0,2.0,2.0,0.0011593520864048197,0.001068407687770413,0.00115748663100157,0.0009216486470879421,2.1185423417280517e-05
2.0,0.45,20.0,2.0,3.0,0.00026961676428019065,0.0003456380875803216,0.00037715650222553673,0.0001507418544004863,7.126111847543475e-07
2.0,0.45,20.0,2.0,4.0,4.657016837566929e-05,0.00010442628999437884,0.00011426104581782156,1.849233202550782e-05,1.797750358706947e-08
2.0,0.45,20.0,2.0,5.0,1.2255307467281393e-06,3.0183241997189386e-05,3.302087058793202e-05,1.8148469972161144e-06,3.6282409497628813e-10
2.0,0.45,20.0,2.0,6.0,0.0,8.46106000626052e-06,9.23338721602318e-06,1.4842501977769207e-07,6.102132185084877e-12
