held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,34.0,up,0.020345668923131673,0.0066388729359161385,0.05262431233300915,0.0
1.0,40.0,34.0,pu,-0.018647016629978426,-0.0001278318167949507,0.05262431233300915,0.0
1.0,40.0,34.0,pp,-0.05019280782662475,-0.0669871845138103,1.0127116820303872,0.0
1.0,40.0,35.0,uu,0.24137240193746884,0.15787212707171544,1.0888977699270503,0.0
1.0,40.0,35.0,up,0.012245529157794229,-0.002830119130592708,0.04223216823439554,0.0
1.0,40.0,35.0,pu,-0.010580995355345244,0.0031012339957412456,0.04223216823439554,0.0
1.0,40.0,35.0,pp,-0.03998284487516862,-0.039208371409309314,0.9927527135502661,0.0
1.0,40.0,36.0,uu,0.23998512758627744,0.15840529236896497,1.09966367697231,0.0
1.0,40.0,36.0,up,0.006033157618815559,-0.007672818755531695,0.0180637218782508,0.0
1.0,40.0,36.0,pu,-0.004440911068341571,0.003948685793324862,0.0180637218782508,0.0
1.0,40.0,36.0,pp,-0.029096011484436503,-0.013922566221414351,0.9804270768445286,0.0
1.0,40.0,37.0,uu,0.239526686758642,0.15919384481696042,1.102315857068368,0.0
1.0,40.0,37.0,up,0.0017414577828258704,-0.008090996204531815,-0.004288615091938853,0.0
1.0,40.0,37.0,pu,-0.00023366251492950698,0.005264452292675805,-0.004288615091938853,0.0
1.0,40.0,37.0,pp,-0.018757797597105778,0.010629704189214838,0.9692250046294877,0.0
1.0,40.0,38.0,uu,0.23966604312986095,0.16000750885952264,1.0972107242936024,0.0
1.0,40.0,38.0,up,-0.0007990733156507417,-0.004753999876547033,-0.02596725499099744,0.0
1.0,40.0,38.0,pu,0.00224082412252118,0.005216583163332311,-0.02596725499099744,0.0
1.0,40.0,38.0,pp,-0.009857139001560626,0.02464794847130392,0.9772631624658329,0.0
1.0,40.0,39.0,uu,0.2401162352914379,0.16097420422984443,1.0853092069082688,0.0
1.0,40.0,39.0,up,-0.0019098610476532274,0.00014964471583715883,-0.03801997234386519,0.0
1.0,40.0,39.0,pu,0.0032965779267470512,0.005556550348719811,-0.03801997234386519,0.0
1.0,40.0,39.0,pp,-0.002860666241663895,0.0324430719722484,0.9948792957042856,0.0
1.0,40.0,40.0,uu,0.2406534207361794,0.1624023356988707,1.0717682484109685,0.0
1.0,40.0,40.0,up,-0.0019405631148251977,0.006248608120164465,-0.0352323455506126,0.0
1.0,40.0,40.0,pu,0.0032788378396420006,0.010203387831701586,-0.0352323455506126,0.0
1.0,40.0,40.0,pp,0.002118915226955027,0.03291267930095142,1.018616575269079,0.0
1.0,40.0,41.0,uu,0.2411171670407262,0.1639934389782386,1.0587000218989464,0.0
1.0,40.0,41.0,up,-0.0012355899581903773,0.011929782543908082,-0.03834935627948214,0.0
1.0,40.0,41.0,pu,0.0025473537332214857,0.009002663587838466,-0.03834935627948214,0.0
1.0,40.0,41.0,pp,0.0052194703977981585,0.028068767583235617,1.032141777128391,0.0
1.0,40.0,42.0,uu,0.24140642515739077,0.16634821327070382,1.047085641634037,0.0
