record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,paired_improvement_fraction,position_error_threshold,linearity_mismatch,linearity_identified,model_identified,transition_stable,spectral_radius,design_rank,maximum_held_residual_state_correlation,gate_pass,fit_failure,fit_parameters_from_macro_observables,second_generator_response_allowed,one_tau_generator_response_allowed,autonomous_stochastic_single_particle_gle_allowed,event_clock_claim_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,identified_fold_count,evaluable_fold_count,all_identified_folds_pass,integrity_gate_pass,primary_fit_time,minimum_one_tau_identified_folds
leave_one_member_out,free_second_generator_transition,4,0.05,0.002,0.5,260476.94652389668,nan,0.35,0.0002640837267522488,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,4,0.05,0.002,1.0,93628512179681.3,nan,0.5,0.0003447787512848587,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.001,0.2,2.7577140584427955,nan,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.001,0.5,16633.528913344777,nan,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.001,1.0,33002337458.619602,nan,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.001,0.2,2.1271336731922843,0.22866053981194207,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1450153654816422,15.0,0.9716931146483938,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.001,0.5,5226.383807686985,0.6857922431905623,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1450153654816422,15.0,0.9004468475066261,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.001,1.0,3788980529.294241,0.8851905403959613,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1450153654816422,15.0,0.9275346639813838,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.001,0.2,0.4497229521964367,nan,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.001,0.5,818.8072770877067,nan,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.001,1.0,46219826.70271069,nan,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.002,0.2,2.7578372709816747,nan,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.002,0.5,16634.189930480086,nan,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,5,0.05,0.002,1.0,33003098089.67399,nan,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1592853443315523,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.002,0.2,2.128232039185918,0.22829673034756087,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1450153654816422,15.0,0.9717961966651152,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.002,0.5,5228.150016753653,0.6856985498780606,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1450153654816422,15.0,0.900427568155096,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,5,0.05,0.002,1.0,3790333064.594006,0.8851522043689611,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1450153654816422,15.0,0.9275444888392896,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.002,0.2,0.44994220220050285,nan,0.2,0.00017631552819443206,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.002,0.5,819.1746574959718,nan,0.35,0.0002798283780469463,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,5,0.05,0.002,1.0,46239578.45878092,nan,0.5,0.0003098466137392241,1.0,1.0,0.0,1.1241874608413223,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,6,0.05,0.001,0.2,0.5269987454426488,nan,0.2,0.00018451841031589936,1.0,1.0,0.0,1.1539513599628612,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,6,0.05,0.001,0.5,2693.917613239176,nan,0.35,0.00026778995826596955,1.0,1.0,0.0,1.1539513599628612,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,6,0.05,0.001,1.0,3070816877.803367,nan,0.5,0.00027756046739788195,1.0,1.0,0.0,1.1539513599628612,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,6,0.05,0.001,0.2,17.156921921661738,-31.555906574788718,0.2,0.00018451841031589936,1.0,1.0,0.0,1.2490896046435451,15.0,0.844379950779919,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,6,0.05,0.001,0.5,9726720.970170468,-3609.6230281018225,0.35,0.00026778995826596955,1.0,1.0,0.0,1.2490896046435451,15.0,0.9538264361432096,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
