temperature,replicate,lag,kernel_model,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.58,2.0,20.0,lag_conditioned,0.0,0.21302591510942853,0.16893775764805471,0.2609727871090959,0.846778748002539,0.5268513866039641,0.3199273613985749,0.8744841004731397,0.8963572500530242,0.02187314957988451,0.6277897942946873,0.6669561225844329,0.039166328289745644,0.30617925617535136,0.3258010831779263,0.01962182700257492
0.58,2.0,20.0,lag_pooled,0.0,0.23473115785321175,0.16893775764805471,0.389453495305788,1.0864747819593972,0.5268513866039641,0.559623395355433,0.8653584222372598,0.8963572500530242,0.030998827815764463,0.6170762420639824,0.6669561225844329,0.04987988052045056,0.304428032720996,0.3258010831779263,0.021373050456930276
0.58,2.0,50.0,lag_conditioned,1.1102230246251565e-16,0.3885110315532768,0.3480981429257765,0.11609624885622383,0.6020362090178557,0.38597304695839774,0.21606316205945797,0.7864281402881023,0.8008231657400701,0.014395025451967802,0.45269818712181,0.4542248156903705,0.0015266285685605063,0.16229065816894567,0.13383432081023175,0.028456337358713918
0.58,2.0,50.0,lag_pooled,1.1102230246251565e-16,0.42882543719180255,0.3480981429257765,0.23190958040600407,0.7710902659400412,0.38597304695839774,0.3851172189816434,0.7725260151178145,0.8008231657400701,0.028297150622255574,0.44198705042884545,0.4542248156903705,0.012237765261525035,0.1611771721447393,0.13383432081023175,0.027342851334507562
0.58,2.0,100.0,lag_conditioned,1.1102230246251565e-16,0.641508566132281,0.6429152367660607,0.002187956597288543,0.4442854418652109,0.2515771495978034,0.1927082922674075,0.6775283498544787,0.6661168891936906,0.01141146066078813,0.29737292873179916,0.24525439631843157,0.052118532413367585,0.08571159106083959,0.03400429515488748,0.051707295905952105
0.58,2.0,100.0,lag_pooled,1.1102230246251565e-16,0.6897154748050844,0.6429152367660607,0.0727937920314885,0.5911518250645249,0.2515771495978034,0.3395746754667215,0.6668238688185957,0.6661168891936906,0.0007069796249050686,0.29657267900313855,0.24525439631843157,0.05131828268470698,0.08615291415626967,0.03400429515488748,0.05214861900138219
0.58,2.0,200.0,lag_conditioned,0.0,1.1125830800361194,1.239448946514999,0.10235666974068813,0.28755039273057825,0.13004647316350693,0.15750391956707133,0.5140826923277654,0.45825187248330496,0.05583081984446042,0.13970212228247872,0.06963898340301387,0.07006313887946485,0.03101414444153107,0.0013632909193586297,0.02965085352217244
0.58,2.0,200.0,lag_pooled,0.0,1.1372531308130653,1.239448946514999,0.08245262218285077,0.4244228823490328,0.13004647316350693,0.2943764091855259,0.5214754908839937,0.45825187248330496,0.06322361840068874,0.15739010781424814,0.06963898340301387,0.08775112441123427,0.03298341280928967,0.0013632909193586297,0.03162012188993104
0.58,2.0,400.0,lag_conditioned,2.220446049250313e-16,2.060176281443145,2.446386944815099,0.15786981866891225,0.13695216732191984,0.06244093818479679,0.07451122913712305,0.28897712940257697,0.2134958630148948,0.07548126638768218,0.026367760189880123,-0.0008022615567074514,0.027170021746587576,0.0021010528712578735,0.0005040949482152632,0.0015969579230426102
0.58,2.0,400.0,lag_pooled,2.220446049250313e-16,1.958184230665575,2.446386944815099,0.19956070938991333,0.24252250251686158,0.06244093818479679,0.1800815643320648,0.32867678748659557,0.2134958630148948,0.11518092447170078,0.04792568063673036,-0.0008022615567074514,0.04872794219343781,0.005037449443234042,0.0005040949482152632,0.004533354495018778
