replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_mode_prediction,two_mode_prediction,hmm_prediction,static_prediction,poisson_prediction
3.0,0.58,20.0,29.0,580.0,0.014449837174559402,1.002598981627336e-15,6.693629577667173e-15,1.2245265429489775e-08,0.007674275628449124,0.0
3.0,0.58,20.0,30.0,600.0,-0.007253793049514566,3.2109008684538684e-16,2.3439478841139137e-15,7.109471428880323e-09,0.007674275628449124,0.0
3.0,0.58,50.0,1.0,50.0,0.039949307697670626,0.05270473002170407,0.052694911777477454,0.047896248527839025,0.019248183370770295,0.0
3.0,0.58,50.0,2.0,100.0,0.013819896487678238,0.0013039517275553135,0.0018287514203423148,0.015531744945002268,0.019248183370770295,0.0
3.0,0.58,50.0,3.0,150.0,0.004807169694059354,3.226067389196947e-05,0.0008899383452279117,0.005036617865726768,0.019248183370770295,0.0
3.0,0.58,50.0,4.0,200.0,-0.0015205734881045634,7.98151540406507e-07,0.0008656360091972358,0.0016332691281748554,0.019248183370770295,0.0
3.0,0.58,50.0,5.0,250.0,0.012110051126726093,1.9746824991521913e-08,0.0008581425036467493,0.000529634789885758,0.019248183370770295,0.0
3.0,0.58,50.0,6.0,300.0,0.012714806146317849,4.885502031947399e-10,0.0008510153551141924,0.00017174941093192557,0.019248183370770295,0.0
3.0,0.58,50.0,7.0,350.0,0.003396717996756565,1.2087072283473261e-11,0.0008439529237806478,5.5694717791907346e-05,0.019248183370770295,0.0
3.0,0.58,50.0,8.0,400.0,0.010705069721903123,2.990425864743157e-13,0.0008369492035358698,1.8060624331047442e-05,0.019248183370770295,0.0
3.0,0.58,50.0,9.0,450.0,-0.004352911599150667,7.39852186104011e-15,0.0008300036069847312,5.856680205220807e-06,0.019248183370770295,0.0
3.0,0.58,50.0,10.0,500.0,-0.013020167598660435,1.830445836281903e-16,0.0008231156499410489,1.8991980785104972e-06,0.019248183370770295,0.0
3.0,0.58,50.0,11.0,550.0,0.01516410480915565,4.52865048247722e-18,0.000816284854037815,6.158699493618633e-07,0.019248183370770295,0.0
3.0,0.58,50.0,12.0,600.0,-0.008685727168563995,1.120419669674545e-19,0.000809510744910837,1.997136574740313e-07,0.019248183370770295,0.0
4.0,0.58,20.0,1.0,20.0,0.07670459593605282,0.08072227590723834,0.08010722737146009,0.053222270799610054,0.009284787363163426,0.0
4.0,0.58,20.0,2.0,40.0,0.04026183733543599,0.028506251120692504,0.02941770908389816,0.030713908651815943,0.009284787363163426,0.0
4.0,0.58,20.0,3.0,60.0,0.020219238894335127,0.01006669279109258,0.011513465082423034,0.01772461359688933,0.009284787363163426,0.0
4.0,0.58,20.0,4.0,80.0,0.009430761181148014,0.003554950222011991,0.005187019901608027,0.010228653432569854,0.009284787363163426,0.0
4.0,0.58,20.0,5.0,100.0,0.003643064796332683,0.001255394531575,0.002949169132677246,0.005902828316775538,0.009284787363163426,0.0
4.0,0.58,20.0,6.0,120.0,-0.0009682566415080923,0.0004433298165892286,0.002155176331845913,0.0034064485972688835,0.009284787363163426,0.0
4.0,0.58,20.0,7.0,140.0,0.005917313479760636,0.0001565574178744121,0.00187107966884506,0.00196581899779424,0.009284787363163426,0.0
4.0,0.58,20.0,8.0,160.0,0.0021598439007536195,5.5286660572648744e-05,0.0017670599767137694,0.0011344496245113056,0.009284787363163426,0.0
4.0,0.58,20.0,9.0,180.0,0.0019418374927320685,1.9523922141633936e-05,0.0017266449285112911,0.0006546767286295951,0.009284787363163426,0.0
4.0,0.58,20.0,10.0,200.0,0.002538051512112839,6.894674625748002e-06,0.0017087034651203318,0.0003778057744906744,0.009284787363163426,0.0
4.0,0.58,20.0,11.0,220.0,-2.0042756352103597e-05,2.4347842533936204e-06,0.00169871053037851,0.00021802700019181003,0.009284787363163426,0.0
