record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,full_state_relative_l2_error,linearity_tolerance,linearity_identified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,position_error_threshold,model_identified,gate_evaluable,transition_stable,gate_pass,spectral_radius,design_rank,fit_failure,training_second_generator_relative_l2_error,maximum_residual_state_correlation,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,linearity_identified_fold_count,evaluable_fold_count,all_identified_folds_pass
leave_one_member_out,generator_constrained,6,0.05,0.002,1.0,12586773178.476324,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.157103200252482,12.0,,0.22278690694752265,0.006497253495624528,,,,,
leave_one_member_out,free_transition,6,0.05,0.001,0.2,2.197907226610011,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.109734484753694,12.0,,,,,,,,
leave_one_member_out,free_transition,6,0.05,0.001,1.0,4596177.395571103,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.109734484753694,12.0,,,,,,,,
leave_one_member_out,free_transition,6,0.05,0.002,0.2,2.1973252596793547,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.109734484753694,12.0,,,,,,,,
leave_one_member_out,free_transition,6,0.05,0.002,1.0,4586818.796783557,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.109734484753694,12.0,,,,,,,,
leave_one_member_out,generator_constrained,7,0.05,0.001,0.2,2.485443276202157,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0919947278940845,12.0,,0.2557787243938676,0.0051505656977123195,,,,,
leave_one_member_out,generator_constrained,7,0.05,0.001,1.0,139656.5368305015,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0919947278940845,12.0,,0.2557787243938676,0.0051505656977123195,,,,,
leave_one_member_out,generator_constrained,7,0.05,0.002,0.2,2.484748984947784,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0919947278940845,12.0,,0.2557787243938676,0.0051505656977123195,,,,,
leave_one_member_out,generator_constrained,7,0.05,0.002,1.0,139561.2872584949,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0919947278940845,12.0,,0.2557787243938676,0.0051505656977123195,,,,,
leave_one_member_out,free_transition,7,0.05,0.001,0.2,1.9411991318419,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.097655940764274,12.0,,,,,,,,
leave_one_member_out,free_transition,7,0.05,0.001,1.0,485607.7134551215,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.097655940764274,12.0,,,,,,,,
leave_one_member_out,free_transition,7,0.05,0.002,0.2,1.940395805826512,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.097655940764274,12.0,,,,,,,,
leave_one_member_out,free_transition,7,0.05,0.002,1.0,485238.417859796,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.097655940764274,12.0,,,,,,,,
leave_one_member_out,generator_constrained,8,0.05,0.001,0.2,8.284104160882462,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.141826519842314,12.0,,0.18575342649133955,0.0035859008844535286,,,,,
leave_one_member_out,generator_constrained,8,0.05,0.001,1.0,2211779210.8556576,,0.02,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.141826519842314,12.0,,0.18575342649133955,0.0035859008844535286,,,,,
leave_one_member_out,generator_constrained,8,0.05,0.002,0.2,8.285509384273709,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.141826519842314,12.0,,0.18575342649133955,0.0035859008844535286,,,,,
leave_one_member_out,generator_constrained,8,0.05,0.002,1.0,2212639001.567885,,0.02,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.141826519842314,12.0,,0.18575342649133955,0.0035859008844535286,,,,,
leave_one_member_out,free_transition,8,0.05,0.001,0.2,6.034040952499953,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.143213334821279,12.0,,,,,,,,
leave_one_member_out,free_transition,8,0.05,0.001,1.0,3054292520.7747536,,0.02,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.143213334821279,12.0,,,,,,,,
leave_one_member_out,free_transition,8,0.05,0.002,0.2,6.03409233510191,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.143213334821279,12.0,,,,,,,,
leave_one_member_out,free_transition,8,0.05,0.002,1.0,3055406826.0423045,,0.02,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.143213334821279,12.0,,,,,,,,
leave_one_member_out,generator_constrained,1,0.1,0.001,0.2,0.6920271356260725,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0591488835520422,12.0,,0.4297670129070486,0.020550700363256638,,,,,
leave_one_member_out,generator_constrained,1,0.1,0.001,1.0,5005.531997675088,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0591488835520422,12.0,,0.4297670129070486,0.020550700363256638,,,,,
leave_one_member_out,generator_constrained,1,0.1,0.002,0.2,0.6913352631175723,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0591488835520422,12.0,,0.4297670129070486,0.020550700363256638,,,,,
leave_one_member_out,generator_constrained,1,0.1,0.002,1.0,5006.737440346625,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0591488835520422,12.0,,0.4297670129070486,0.020550700363256638,,,,,
leave_one_member_out,free_transition,1,0.1,0.001,0.2,0.6835622739953268,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0334251388494637,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.1,0.001,1.0,170.17928568116005,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0334251388494637,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.1,0.002,0.2,0.6830846088814672,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0334251388494637,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.1,0.002,1.0,170.23419598152455,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0334251388494637,12.0,,,,,,,,
leave_one_member_out,generator_constrained,2,0.1,0.001,0.2,0.283250830521697,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.063607241846447,12.0,,0.46260504059142515,0.025861717828546064,,,,,
leave_one_member_out,generator_constrained,2,0.1,0.001,1.0,5626.473618414997,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.063607241846447,12.0,,0.46260504059142515,0.025861717828546064,,,,,
leave_one_member_out,generator_constrained,2,0.1,0.002,0.2,0.2843421576557343,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.063607241846447,12.0,,0.46260504059142515,0.025861717828546064,,,,,
leave_one_member_out,generator_constrained,2,0.1,0.002,1.0,5580.339890986221,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.063607241846447,12.0,,0.46260504059142515,0.025861717828546064,,,,,
leave_one_member_out,free_transition,2,0.1,0.001,0.2,0.29310353573507497,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0340865893231002,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.1,0.001,1.0,106.7275626305374,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0340865893231002,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.1,0.002,0.2,0.2942505607664021,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0340865893231002,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.1,0.002,1.0,105.84727538406148,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0340865893231002,12.0,,,,,,,,
leave_one_member_out,generator_constrained,3,0.1,0.001,0.2,0.251362111037853,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0671901941111464,12.0,,0.44902891621597474,0.021308363327074305,,,,,
leave_one_member_out,generator_constrained,3,0.1,0.001,1.0,3770.5373033533833,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0671901941111464,12.0,,0.44902891621597474,0.021308363327074305,,,,,
leave_one_member_out,generator_constrained,3,0.1,0.002,0.2,0.25024124345728604,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0671901941111464,12.0,,0.44902891621597474,0.021308363327074305,,,,,
leave_one_member_out,generator_constrained,3,0.1,0.002,1.0,3770.450594437515,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0671901941111464,12.0,,0.44902891621597474,0.021308363327074305,,,,,
leave_one_member_out,free_transition,3,0.1,0.001,0.2,0.25443274009893463,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0418835748106685,12.0,,,,,,,,
leave_one_member_out,free_transition,3,0.1,0.001,1.0,146.82628043209422,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0418835748106685,12.0,,,,,,,,
leave_one_member_out,free_transition,3,0.1,0.002,0.2,0.25327236078026616,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0418835748106685,12.0,,,,,,,,
leave_one_member_out,free_transition,3,0.1,0.002,1.0,146.85953717242884,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0418835748106685,12.0,,,,,,,,
leave_one_member_out,generator_constrained,4,0.1,0.001,0.2,0.2488084972532518,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.066310713340198,12.0,,0.4605518792729266,0.029978997637981022,,,,,
leave_one_member_out,generator_constrained,4,0.1,0.001,1.0,4664.868788745189,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.066310713340198,12.0,,0.4605518792729266,0.029978997637981022,,,,,
leave_one_member_out,generator_constrained,4,0.1,0.002,0.2,0.2504865795636442,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.066310713340198,12.0,,0.4605518792729266,0.029978997637981022,,,,,
leave_one_member_out,generator_constrained,4,0.1,0.002,1.0,4673.03166631503,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.066310713340198,12.0,,0.4605518792729266,0.029978997637981022,,,,,
leave_one_member_out,free_transition,4,0.1,0.001,0.2,0.2337271009870635,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0359764602003108,12.0,,,,,,,,
leave_one_member_out,free_transition,4,0.1,0.001,1.0,256.8929580578276,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0359764602003108,12.0,,,,,,,,
leave_one_member_out,free_transition,4,0.1,0.002,0.2,0.23528241004836276,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0359764602003108,12.0,,,,,,,,
