model,replicate,realization,temperature,block_size,radial_bin_count,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,2.0,8.0,0.45,20.0,8.0,3560309.0,0.0004175978074776321,0.0003025213788844239,0.00028984525453001897,5.762957409061187e-06,5.558805876126893e-05,0.0004396821812350238,0.00014972262299484118,0.0023632279967391034,0.0023632279967391034,0.004618651372933491,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,9.0,0.45,20.0,8.0,3657718.0,0.0005885132217879896,0.0009483560508694033,0.0001209277441699963,0.00011284493292018638,7.025380341685317e-05,0.0004873468901338551,8.071124388119022e-05,0.0006249480232587978,0.0006249480232587978,0.00441857165613635,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,10.0,0.45,20.0,8.0,3755127.0,0.0014043805408745502,0.0013017459166977385,0.00019096550347702523,0.0001934036525363947,0.00047281119486775047,0.00041917675821079303,0.00011065955702500851,0.0011669350164612013,0.0011669350164612013,0.0046584015748916685,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,11.0,0.45,20.0,8.0,3852536.0,0.00018598689486792885,0.00011286549939149015,4.633638103268556e-05,1.4010983942713828e-05,2.4456143527751273e-05,0.0004673960562089352,0.001572049604684711,0.001082252154484542,0.001572049604684711,0.003521481207860111,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,12.0,0.45,20.0,8.0,3949945.0,0.0007636883158723684,0.0026259053896193763,0.0004152792849064779,0.0001128449329202974,0.00047587369374324506,0.000516516406299794,0.0005745256736034154,0.001514334910633519,0.001514334910633519,0.004032789520309665,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,13.0,0.45,20.0,8.0,4047354.0,0.00013088645881009775,0.0003796627392267382,0.00019218716738900188,0.00018535053010482194,0.00046497185512639483,0.0005074636261659382,0.0005085595613822103,0.0013858537886196065,0.0013858537886196065,0.004703831536609249,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,14.0,0.45,20.0,8.0,4144763.0,0.0006522636904979784,0.0007089556660762053,0.00028654191084903635,2.103401352782086e-05,0.00024086719198246342,0.0010850066478350628,0.0006050775433422001,0.0005641740469067291,0.0010850066478350628,0.0033705225232478764,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,2.0,15.0,0.45,20.0,8.0,4242172.0,0.0011711639519440542,0.0013397489931874507,7.08884825796896e-05,0.00019386550763478283,3.7711185106870104e-06,0.0004860449331469674,3.692147269979129e-05,0.00029927979699184704,0.0004860449331469674,0.004475442050861589,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,0.0,0.45,20.0,8.0,3781040.0,0.0005148633169889116,0.003914599279086994,0.00028318249492653713,6.560947331157863e-05,0.0004930370238935833,0.0004906246297745609,0.0012720370207545267,0.0008638947650401185,0.0012720370207545267,0.0035135162186362145,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,1.0,0.45,20.0,8.0,3878449.0,1.7538228095581587e-05,0.00045676166436825483,0.00013345829125760433,0.00018434528635891123,0.0005674977488797639,0.0007351164508268004,0.0005179915589397927,0.0006123520087805701,0.0007351164508268004,0.004015462604564035,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
