model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_multivariate_surrogate,1.0,0.0,0.58,20.0,20.0,1.0,121249.0,0.16064023419724077,0.16660841604263024,0.03582161085945612,0.5601949371167019,0.5385549106326213,0.021640026484080588,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9012128769145435,0.8977103424506039,0.003502534463939666,0.6805350347304885,0.6706091522002315,0.009925882530256946,0.3434646321878476,0.3302563514537057,0.01320828073414193
radial_multivariate_surrogate,1.0,0.0,0.58,100.0,20.0,5.0,108141.0,0.6016807965705371,0.6244853324897498,0.036517328322658416,0.1865902516790452,0.2825033492140283,0.09591309753498312,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6794553162559223,0.6748742076596806,0.004581108596241612,0.2459669764372805,0.25770578929215066,0.011738812854870162,0.024578572704772324,0.03757140173250425,0.012992829027731925
radial_multivariate_surrogate,1.0,0.0,0.58,200.0,20.0,10.0,91756.0,1.146058583522868,1.1970958003749623,0.04263419588984274,0.1303037943049563,0.17003137790337108,0.03972758359841477,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48374670378390205,0.4733264732392782,0.010420230544623876,0.07981100303297944,0.07641999280253814,0.003391010230441305,0.002964314458325967,0.0035374896626027496,0.0005731752042767825
radial_multivariate_surrogate,1.0,0.0,0.58,400.0,20.0,20.0,58986.0,2.223705706244674,2.302522122507715,0.03423047079226338,0.1132203575375963,0.08241548506967367,0.030804872467922628,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2532994122572667,0.2367746362454057,0.016524776011861003,0.014006968598479927,0.005007075510426834,0.008999893088053093,-0.002216553182015109,-0.0015893870932790705,0.0006271660887360387
radial_multivariate_surrogate,1.0,0.0,0.58,600.0,20.0,30.0,26216.0,3.3256185587635083,3.5092386999443375,0.052324779498112095,0.07437894545975343,0.04880248109629837,0.025576464363455065,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12914041188995756,0.10971466137823888,0.019425750511718687,0.002234419340186582,0.003664696471714173,0.001430277131527591,0.004176391132587602,-0.002099056579231919,0.006275447711819522
phase_randomized_cross_spectrum,1.0,1.0,0.58,20.0,20.0,1.0,121249.0,0.16064023419724083,0.16660841604263024,0.03582161085945579,0.060818244663059406,0.5385549106326213,0.4777366659695619,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8987463852756538,0.8977103424506039,0.0010360428250498765,0.6550679050506033,0.6706091522002315,0.015541247149628235,0.2588620615852711,0.3302563514537057,0.0713942898684346
phase_randomized_cross_spectrum,1.0,1.0,0.58,100.0,20.0,5.0,108141.0,0.5982610120427858,0.6244853324897498,0.04199349301353594,0.10914175695719797,0.2825033492140283,0.17336159225683034,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6770770063783741,0.6748742076596806,0.002202798718693444,0.2303181248957919,0.25770578929215066,0.027387664396358757,0.014307773587917572,0.03757140173250425,0.023263628144586677
phase_randomized_cross_spectrum,1.0,1.0,0.58,200.0,20.0,10.0,91756.0,1.1363892978588208,1.1970958003749623,0.05071148232006717,0.11651598413141695,0.17003137790337108,0.053515393771954134,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4845599867863358,0.4733264732392782,0.011233513547057594,0.07513011801744647,0.07641999280253814,0.0012898747850916686,0.0007340504574734215,0.0035374896626027496,0.002803439205129328
phase_randomized_cross_spectrum,1.0,1.0,0.58,400.0,20.0,20.0,58986.0,2.2193332503410033,2.302522122507715,0.036129456196542065,0.10637312810667798,0.08241548506967367,0.023957643037004317,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2552133224411661,0.2367746362454057,0.018438686195760418,0.011802643014216633,0.005007075510426834,0.006795567503789799,-0.0010326498196834627,-0.0015893870932790705,0.0005567372735956078
phase_randomized_cross_spectrum,1.0,1.0,0.58,600.0,20.0,30.0,26216.0,3.3198943064737176,3.5092386999443375,0.053955974403685714,0.0745354022521687,0.04880248109629837,0.025732921155870336,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12943112688236677,0.10971466137823888,0.019716465504127895,-0.002009289002017911,0.003664696471714173,0.005673985473732084,-0.0017997789510438963,-0.002099056579231919,0.0002992776281880228
