temperature,model_code,lag,replicate_count,predicted_msd,observed_msd,msd_relative_error,predicted_fourth_moment,observed_fourth_moment,predicted_ngp,observed_ngp,ngp_absolute_error,maximum_count_tail_probability,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,chc,500.0,3.0,0.128275070437029,0.1262955126161884,0.015674015488233994,0.08332262465609235,0.08409026771246454,2.0382931081585753,2.163159893849566,0.12486678569099086,1.2466455748594285e-05,0.9241437155882667,0.9255414798411173,0.0013977642528506529,0.7678917697038677,0.7737458591055776,0.005854089401709839,0.5130648220712896,0.5291930232489127,0.016128201177623147
0.45,chc,1000.0,3.0,0.2073458447417397,0.2096882357573943,0.01117082704804051,0.2069924108568162,0.2133528256573274,1.8887835366975727,1.911397588989531,0.02261405229195823,1.9491075828104165e-05,0.884628816173231,0.8837103017827217,0.000918514390509273,0.684163151902894,0.6839386458670308,0.0002245060358632145,0.4195792037840797,0.4252107551608982,0.005631551376818478
0.45,chc,2000.0,3.0,0.3660670801626651,0.3804918087436149,0.03791074669538952,0.5549862593197071,0.5843678384835524,1.484918393054031,1.4218482813129847,0.06307011174104638,1.1102230246251565e-16,0.8128743850657821,0.8061750197934495,0.006699365272332614,0.5546828189828984,0.5420765220261176,0.012606296956780838,0.30050539123498227,0.2894792740466868,0.011026117188295492
0.45,chc,3000.0,3.0,0.5197794512342587,0.5428630069869955,0.04252188020851777,1.0034068714933668,1.0655669393941465,1.2283843958162115,1.1694592246975226,0.05892517111868889,0.00013859727401044353,0.7506350878181515,0.7409790220423944,0.009656065775757061,0.4586878611196363,0.44362214992805216,0.015065711191584119,0.2243147994937411,0.2129683136864647,0.011346485807276402
0.45,chc,4096.0,3.0,0.6743958003150854,0.7020352157102732,0.03937041159284871,1.5252483471561427,1.6170913307904564,1.0121580902591991,0.9686476986099484,0.043510391649250746,0.0004095530250710633,0.6922422255846433,0.681698915318509,0.01054331026613431,0.37902045417898284,0.36547921475070194,0.013541239428280893,0.1679214612536721,0.1585948106586421,0.009326650595030017
0.45,cch,20.0,3.0,0.042137289322233845,0.03949186469853002,0.0669865716369249,0.0052635683275968495,0.004358074301659739,0.778682069520974,0.6766043934790436,0.10207767604193041,1.1102230246251565e-16,0.9725836024677653,0.9742347768868319,0.0016511744190665922,0.8974146199780142,0.9029575283359126,0.005542908357898391,0.7148996990099136,0.7268548226920929,0.011955123682179325
0.45,cch,50.0,3.0,0.050632082246537945,0.04695635520102237,0.07827964989573011,0.009015297003719362,0.007866374695904966,1.109986676668092,1.1406078866688234,0.03062121000073148,0.0,0.9673814610691487,0.9696913070864693,0.002309846017320649,0.8807643819371346,0.8886703237343586,0.007905941797224036,0.6817862699478224,0.6995204967944827,0.01773422684666026
0.45,cch,100.0,3.0,0.06156070124441602,0.057100198209926144,0.07811711998075821,0.015355103702444717,0.01411335245273373,1.4310667735114926,1.5972048553147098,0.1661380818032172,0.0,0.960858725408928,0.9636844599785942,0.0028257345696661718,0.8610961783551024,0.8709383880301901,0.009842209675087643,0.6461484133127464,0.6685948251395887,0.02244641182684226
0.45,cch,200.0,3.0,0.07998345756909504,0.07520056123369137,0.06360187021132013,0.02948010094589626,0.028383001374182756,1.7649028007942325,2.011392781175742,0.2464899803815097,0.0,0.9502343465564507,0.9533016497076988,0.0030673031512481463,0.8314782111859805,0.8424183294324846,0.010940118246504094,0.5985651355404845,0.6236796305483269,0.025114495007842352
0.45,cch,500.0,3.0,0.1287444428987603,0.1262955126161884,0.01939047739577404,0.08282651899884112,0.08409026771246454,1.9982212308545324,2.163159893849566,0.1649386629950338,0.0,0.9237022696229462,0.9255414798411173,0.0018392102181711278,0.7659540736389735,0.7737458591055776,0.007791785466604084,0.5095296875800476,0.5291930232489127,0.019663335668865134
0.45,cch,1000.0,3.0,0.20678567030971048,0.2096882357573943,0.01384229037551743,0.20277575993641442,0.2133528256573274,1.8452891515189243,1.911397588989531,0.06610843747060668,2.220446049250313e-16,0.884442342111258,0.8837103017827217,0.0007320403285363541,0.6823994248097662,0.6839386458670308,0.0015392210572645615,0.4174874374468159,0.4252107551608982,0.007723317714082301
0.45,cch,2000.0,3.0,0.36110480775031556,0.3804918087436149,0.050952479259186334,0.533370551398138,0.5843678384835524,1.4542214225677927,1.4218482813129847,0.03237314125480806,1.1102230246251565e-16,0.8144061777954831,0.8061750197934495,0.008231158002033556,0.5574637084987971,0.5420765220261176,0.01538718647267956,0.30344616506041044,0.2894792740466868,0.01396689101372367
0.45,cch,3000.0,3.0,0.5128981505069721,0.5428630069869955,0.05519782356571823,0.9783947127274891,1.0655669393941465,1.2315318071706844,1.1694592246975226,0.06207258247316183,1.1102230246251565e-16,0.7534556183920471,0.7409790220423944,0.012476596349652702,0.46686136366142034,0.44362214992805216,0.02323921373336818,0.232347856679837,0.2129683136864647,0.0193795429933723
0.45,cch,4096.0,3.0,0.6783093344706014,0.7020352157102732,0.03379585626009873,1.5507438124354291,1.6170913307904564,1.0222540793903407,0.9686476986099484,0.05360638078039237,1.1102230246251565e-16,0.6915620503817399,0.681698915318509,0.009863135063230888,0.38252980420594024,0.36547921475070194,0.017050589455238296,0.17185160930474083,0.1585948106586421,0.013256798646098744
0.45,hhc,20.0,3.0,0.04210575603757825,0.03949186469853002,0.06618809618137678,0.005293875106785899,0.004358074301659739,0.7916039115618299,0.6766043934790436,0.1149995180827863,0.0,0.9726094529887165,0.9742347768868319,0.0016253238981154272,0.897559954597007,0.9029575283359126,0.005397573738905592,0.7154858457828471,0.7268548226920929,0.011368976909245765
0.45,hhc,50.0,3.0,0.05060288652025228,0.04695635520102237,0.07765788685299224,0.00910367706282148,0.007866374695904966,1.1331309263411922,1.1406078866688234,0.007476960327631232,1.1102230246251565e-16,0.9674150748688063,0.9696913070864693,0.0022762322176630434,0.881008775770387,0.8886703237343586,0.00766154796397156,0.6828074733569099,0.6995204967944827,0.01671302343757275
0.45,hhc,100.0,3.0,0.06170912943807786,0.057100198209926144,0.08071655392871313,0.015690100565378458,0.01411335245273373,1.4721688977858314,1.5972048553147098,0.12503595752887842,2.220446049250313e-16,0.9608071731450867,0.9636844599785942,0.0028772868335075197,0.8612264713782783,0.8709383880301901,0.009711916651911734,0.6471518635967736,0.6685948251395887,0.02144296154281511
0.45,hhc,200.0,3.0,0.08073455137547829,0.07520056123369137,0.07358974522264039,0.030452580469987233,0.028383001374182756,1.8032154439692567,2.011392781175742,0.20817733720648546,1.1102230246251565e-16,0.9498640730653082,0.9533016497076988,0.0034375766423906384,0.8308556271310161,0.8424183294324846,0.011562702301468497,0.5981061638962645,0.6236796305483269,0.025573466652062393
0.45,hhc,500.0,3.0,0.13119938345016482,0.1262955126161884,0.038828543725692555,0.0867211537464014,0.08409026771246454,2.022822938766344,2.163159893849566,0.1403369550832223,0.0,0.9225755483598901,0.9255414798411173,0.0029659314812272575,0.7641178347721779,0.7737458591055776,0.00962802433339971,0.5083486171548871,0.5291930232489127,0.020844406094025603
0.45,hhc,1000.0,3.0,0.21311941823520844,0.2096882357573943,0.01636325693437546,0.21611907833150643,0.2133528256573274,1.8549487282812036,1.911397588989531,0.05644886070832733,1.1102230246251565e-16,0.8817517640448228,0.8837103017827217,0.001958537737898891,0.6780479409108887,0.6839386458670308,0.005890704956142079,0.41287890289599094,0.4252107551608982,0.01233185226490724
0.45,hhc,2000.0,3.0,0.3800760958831602,0.3804918087436149,0.0010925671746452315,0.5856721392038503,0.5843678384835524,1.4325663929185604,1.4218482813129847,0.010718111605575675,2.220446049250313e-16,0.8065788858531294,0.8061750197934495,0.00040386605967990263,0.5435634091213498,0.5420765220261176,0.0014868870952322588,0.2910187802378593,0.2894792740466868,0.001539506191172546
0.45,hhc,3000.0,3.0,0.5409936198734251,0.5428630069869955,0.0034435706421513945,1.0651221678677236,1.0655669393941465,1.1835663211430996,1.1694592246975226,0.01410709644557695,1.1102230246251565e-16,0.7420528253700859,0.7409790220423944,0.0010738033276914694,0.4462680411922219,0.44362214992805216,0.002645891264169753,0.21599323825216743,0.2129683136864647,0.003024924565702719
0.45,hhc,4096.0,3.0,0.6954592108541728,0.7020352157102732,0.009367058388156768,1.6002702658527668,1.6170913307904564,0.9851862540685221,0.9686476986099484,0.016538555458573745,1.1102230246251565e-16,0.6846532374586715,0.681698915318509,0.0029543221401624464,0.3713640441250614,0.36547921475070194,0.005884829374359468,0.16567840482942217,0.1585948106586421,0.007083594170780083
0.45,hch,20.0,3.0,0.0422801277302075,0.03949186469853002,0.07060347879145001,0.0053271825129562024,0.004358074301659739,0.7880359455497836,0.6766043934790436,0.11143155207074007,0.0,0.9724962186512927,0.9742347768868319,0.001738558235539256,0.8971382891074349,0.9029575283359126,0.005819239228477713,0.7143859019718679,0.7268548226920929,0.012468920720224985
